iter	Logloss
0	0.6834754875
1	0.6727287253
2	0.6641540115
3	0.6543507983
4	0.6449090282
5	0.6335292521
6	0.6229840055
7	0.61601624
8	0.6076451405
9	0.5993122355
10	0.5919164281
11	0.5844663122
12	0.57662211
13	0.5706290256
14	0.5645110318
15	0.5593181855
16	0.5535957044
17	0.5498167648
18	0.5412814486
19	0.5356907203
20	0.5304387837
21	0.5263099908
22	0.5216877525
23	0.5162882405
24	0.5119856062
25	0.5073181527
26	0.5037685039
27	0.4997202102
28	0.4965771438
29	0.4906563293
30	0.4868023155
31	0.483160716
32	0.4782234898
33	0.4744834831
34	0.4716548104
35	0.4690494407
36	0.4661323014
37	0.4629006759
38	0.4609283675
39	0.4565050033
40	0.4530079551
41	0.4484102819
42	0.4446326668
43	0.4420605523
44	0.4379480366
45	0.4350092492
46	0.4329734386
47	0.43107073
48	0.4286202698
49	0.4250953071
50	0.4221473427
51	0.4205083182
52	0.4181887937
53	0.416453832
54	0.4138091361
55	0.4132495052
56	0.4113462136
57	0.4091641015
58	0.408007481
59	0.4068190674
60	0.4044192909
61	0.4019907507
62	0.3995946999
63	0.3981609472
64	0.3955699335
65	0.3927616759
66	0.3904251423
67	0.3884408421
68	0.3864839947
69	0.3845136795
70	0.3822573697
71	0.3809111597
72	0.3792816377
73	0.3772880647
74	0.375297476
75	0.3733129375
76	0.3718163125
77	0.370544485
78	0.3690927778
79	0.3668391164
80	0.3647986929
81	0.3629621995
82	0.3608968199
83	0.3595434707
84	0.3573142614
85	0.3550645291
86	0.3542451664
87	0.3531088538
88	0.3518620756
89	0.3487451647
90	0.3478506849
91	0.3464409489
92	0.3450010689
93	0.3436178144
94	0.3413928019
95	0.3408259272
96	0.3397628799
97	0.3386316363
98	0.3374817959
99	0.3344654007
100	0.3338828535
101	0.332551456
102	0.3296118683
103	0.3279235363
104	0.3260393398
105	0.3247273248
106	0.3230970317
107	0.3217935443
108	0.3206743638
109	0.3193342871
110	0.3178084777
111	0.3172384709
112	0.3154259844
113	0.3136146996
114	0.3119578037
115	0.309842574
116	0.3083140469
117	0.3067519586
118	0.3051613286
119	0.3037827266
120	0.3026240382
121	0.3010904206
122	0.3000764777
123	0.2986481793
124	0.2973032401
125	0.2957916582
126	0.2946838307
127	0.2931744722
128	0.2922675936
129	0.2907747106
130	0.2894750073
131	0.2887477856
132	0.2872295646
133	0.286720906
134	0.2838782877
135	0.2831696854
136	0.2824529187
137	0.280745475
138	0.2788028949
139	0.2772273767
140	0.2766938772
141	0.274863795
142	0.2740238492
143	0.2727792143
144	0.2720920949
145	0.2708469707
146	0.2696230177
147	0.2679501334
148	0.2670916623
149	0.2659274286
150	0.2651569298
151	0.2638856396
152	0.2628773811
153	0.2620409994
154	0.2614345452
155	0.2607029491
156	0.2597074672
157	0.2591940876
158	0.2581306305
159	0.2572340475
160	0.256538741
161	0.2560914458
162	0.2553634976
163	0.2546319958
164	0.2540774288
165	0.2531575894
166	0.2517548673
167	0.2508409494
168	0.2495313938
169	0.2485297235
170	0.2480669843
171	0.2475770989
172	0.246104266
173	0.2452880189
174	0.2445496435
175	0.243278829
176	0.2423281267
177	0.2416008369
178	0.2409101444
179	0.2402045148
180	0.239466272
181	0.2372471677
182	0.2362605831
183	0.2356662996
184	0.2348215612
185	0.2333155404
186	0.2318694105
187	0.2312149207
188	0.2295160371
189	0.228591669
190	0.2273185973
191	0.226075301
192	0.225215263
193	0.2240195802
194	0.2232999309
195	0.2223665951
196	0.220712237
197	0.2199759148
198	0.2188589138
199	0.2177674289
200	0.2168972097
201	0.2153430005
202	0.2137639253
203	0.2130501181
204	0.2122914878
205	0.2110818582
206	0.210602362
207	0.2088527087
208	0.2081045925
209	0.2071888907
210	0.206286887
211	0.2049998649
212	0.2043036669
213	0.2033955362
214	0.2026816546
215	0.2014793142
216	0.2012103654
217	0.2006641935
218	0.1998102648
219	0.1989641536
220	0.1980289467
221	0.1971066145
222	0.19671173
223	0.1960534326
224	0.1950755737
225	0.194206742
226	0.1924873156
227	0.1916954877
228	0.1908042932
229	0.1899237662
230	0.1892485214
231	0.1884962242
232	0.1877027487
233	0.1870255747
234	0.1862450799
235	0.1851873233
236	0.1848944933
237	0.1846259731
238	0.1839895398
239	0.1835506179
240	0.1832044674
241	0.18259237
242	0.1817175844
243	0.1812316863
244	0.1802859323
245	0.1796899427
246	0.1784631901
247	0.1780256135
248	0.1772842235
249	0.1763654525
250	0.175424077
251	0.1752497018
252	0.1746802014
253	0.1742410985
254	0.1736595974
255	0.1733971757
256	0.1728365128
257	0.1718455205
258	0.1716017066
259	0.1713065995
260	0.1706267988
261	0.1702756063
262	0.17007391
263	0.1698326339
264	0.1695267345
265	0.1685633002
266	0.1677204355
267	0.1664322785
268	0.1657561673
269	0.1651012207
270	0.1637597811
271	0.1630972582
272	0.1621125
273	0.1617026967
274	0.1611157043
275	0.1606054262
276	0.1602643288
277	0.159802114
278	0.1586180392
279	0.1574167333
2280	0.18381578328281	0.1831762587
282	0.1826586723
283	0.1821178137
284	0.1818239331
285	0.1805586013
286	0.1801444898
287	0.1791270775
288	0.1777436687
289	0.1773060102
290	0.1762583984
291	0.1753265009
292	0.1744307518
293	0.1739692622
294	0.1729987102
295	0.1721742433
296	0.1719185823
297	0.1711756673
298	0.1707776711
299	0.1699465778
300	0.168790388
301	0.1679700078
302	0.1676685467
303	0.1673512255
304	0.1667963826
305	0.166274447
306	0.1654106891
307	0.1651845199
308	0.1642326271
309	0.1634791408
310	0.1631896513
311	0.1627372604
312	0.162001482
313	0.1607745984
314	0.1605883405
315	0.1603147015
316	0.1600356762
317	0.1593626208
318	0.1589016686
319	0.1582246553
320	0.157247442
321	0.1561939412
322	0.1550823516
323	0.1543657294
324	0.1532484798
325	0.1528418874
326	0.1526516043
327	0.1521163154
328	0.1516332415
329	0.1508695329
330	0.1502524786
331	0.1496782644
332	0.1490529494
333	0.1484105754
334	0.1479440493
335	0.1476523398
336	0.147250071
337	0.1465801687
338	0.1462001173
339	0.1456114895
340	0.1451172311
341	0.1448144138
342	0.1442108701
343	0.1438034807
344	0.1432427357
345	0.1426478296
346	0.1421561553
347	0.1419810827
348	0.1414758985
349	0.1409499113
350	0.1406366006
351	0.1400894626
352	0.1394765372
353	0.1388797804
354	0.1385923712
355	0.137819713
356	0.1375105192
357	0.1371185914
358	0.1367112123
359	0.1363049419
360	0.1358030556
361	0.1355351352
