iter	Passed	Remaining
0	169	135797
1	196	78385
2	222	59164
3	250	49815
4	283	45127
5	308	40787
6	339	38438
7	375	37154
8	407	35823
9	428	33864
10	461	33117
11	492	32346
12	518	31371
13	550	30920
14	570	29848
15	603	29566
16	633	29171
17	657	28544
18	687	28264
19	720	28090
20	747	27723
21	766	27100
22	787	26607
23	813	26311
24	843	26156
25	869	25871
26	897	25700
27	922	25441
28	952	25317
29	987	25342
30	1028	25523
31	1054	25303
32	1083	25172
33	1115	25125
34	1140	24926
35	1168	24787
36	1199	24734
37	1224	24548
38	1256	24526
39	1286	24437
40	1316	24369
41	1339	24166
42	1365	24032
43	1397	24008
44	1432	24041
45	1466	24035
46	1486	23810
47	1514	23726
48	1534	23514
49	1561	23424
50	1587	23311
51	1613	23215
52	1645	23192
53	1674	23138
54	1693	22943
55	1715	22787
56	1746	22762
57	1768	22630
58	1798	22590
59	1819	22441
60	1843	22339
61	1873	22305
62	1906	22308
63	1929	22187
64	1956	22127
65	1986	22090
66	2010	21992
67	2036	21923
68	2062	21853
69	2086	21763
70	2109	21660
71	2132	21557
72	2153	21444
73	2191	21497
74	2223	21493
75	2250	21434
76	2278	21389
77	2301	21307
78	2324	21213
79	2341	21070
80	2362	20973
81	2395	20971
82	2425	20949
83	2446	20857
84	2469	20771
85	2496	20723
86	2519	20649
87	2544	20588
88	2568	20521
89	2597	20491
90	2628	20476
91	2656	20439
92	2683	20397
93	2709	20348
94	2736	20304
95	2752	20183
96	2775	20118
97	2801	20065
98	2832	20057
99	2858	20011
100	2877	19914
101	2907	19897
102	2934	19855
103	2968	19863
104	2988	19779
105	3016	19751
106	3039	19683
107	3071	19677
108	3097	19637
109	3120	19572
110	3145	19524
111	3170	19478
112	3191	19402
113	3214	19342
114	3241	19307
115	3280	19344
116	3303	19282
117	3330	19251
118	3356	19208
119	3380	19158
120	3408	19125
121	3439	19112
122	3458	19033
123	3487	19015
124	3512	18968
125	3541	18942
126	3572	18930
127	3606	18931
128	3634	18902
129	3661	18872
130	3684	18817
131	3698	18719
132	3728	18698
133	3764	18708
134	3790	18670
135	3816	18634
136	3841	18588
137	3865	18544
138	3895	18526
139	3921	18486
140	3945	18438
141	3977	18429
142	4003	18395
143	4030	18359
144	4051	18299
145	4076	18261
146	4105	18235
147	4128	18187
148	4152	18144
149	4175	18095
150	4203	18067
151	4236	18060
152	4261	18020
153	4284	17974
154	4308	17928
155	4340	17919
156	4360	17856
157	4393	17850
158	4415	17801
159	4444	17778
160	4467	17731
161	4486	17668
162	4515	17646
163	4542	17614
164	4568	17582
165	4601	17574
166	4631	17556
167	4652	17501
168	4680	17474
169	4700	17420
170	4731	17403
171	4753	17356
172	4781	17329
173	4817	17332
174	4846	17307
175	4869	17265
176	4887	17203
177	4919	17191
178	4938	17131
179	4963	17098
180	4995	17085
181	5021	17050
182	5051	17032
183	5076	16994
184	5100	16955
185	5129	16931
186	5161	16919
187	5190	16895
188	5219	16874
189	5245	16841
190	5274	16817
191	5297	16775
192	5330	16763
193	5351	16716
194	5386	16712
195	5413	16681
196	5442	16659
197	5470	16631
198	5493	16592
199	5515	16547
200	5553	16549
201	5582	16525
202	5613	16507
203	5643	16487
204	5677	16478
205	5698	16432
206	5727	16406
207	5753	16376
208	5780	16344
209	5803	16304
210	5833	16284
211	5856	16243
212	5884	16218
213	5921	16215
214	5950	16189
215	5976	16157
216	6003	16128
217	6024	16083
218	6042	16031
219	6072	16008
220	6102	15987
221	6127	15952
222	6151	15916
223	6174	15877
224	6200	15846
225	6220	15798
226	6247	15771
227	6269	15728
228	6300	15710
229	6321	15667
230	6349	15640
231	6378	15616
232	6407	15593
233	6434	15562
234	6455	15520
235	6481	15489
236	6502	15445
237	6533	15428
238	6561	15400
239	6600	15401
240	6614	15342
241	6636	15301
242	6664	15276
243	6685	15234
244	6719	15222
245	6748	15197
246	6770	15158
247	6803	15142
248	6826	15105
249	6852	15075
250	6879	15047
251	6901	15007
252	6926	14976
253	6960	14963
254	6996	14952
255	7036	14952
256	7080	14960
257	7110	14937
258	7132	14898
259	7153	14857
260	7176	14819
261	7198	14782
262	7217	14736
263	7236	14692
264	7254	14644
265	7271	14598
266	7294	14562
267	7318	14527
268	7340	14489
269	7358	14443
270	7375	14396
271	7395	14355
272	7411	14306
273	7431	14265
274	7449	14222
275	7470	14183
276	7488	14139
277	7507	1278	7278	7526	1279	7279	7543	1280	7751	14317
281	7784	14299
282	7811	14269
283	7840	14246
284	7865	14212
285	7893	14186
286	7923	14162
287	7947	14128
288	7976	14104
289	8002	14074
290	8030	14045
291	8060	14022
292	8084	13990
293	8110	13958
294	8135	13926
295	8162	13898
296	8184	13862
297	8211	13833
298	8244	13813
299	8262	13771
300	8288	13740
301	8311	13706
302	8343	13684
303	8367	13651
304	8401	13635
305	8422	13597
306	8456	13580
307	8480	13547
308	8504	13513
309	8535	13491
310	8568	13473
311	8593	13440
312	8623	13416
313	8652	13391
314	8678	13362
315	8705	13333
316	8732	13305
317	8759	13276
318	8792	13257
319	8819	13229
320	8847	13201
321	8873	13172
322	8899	13143
323	8924	13111
324	8942	13070
325	8972	13045
326	8992	13007
327	9024	12986
328	9053	12960
329	9080	12932
330	9112	12911
331	9137	12880
332	9164	12851
333	9191	12823
334	9213	12788
335	9243	12764
336	9270	12735
337	9291	12699
338	9315	12668
339	9347	12646
340	9376	12621
341	9392	12578
342	9414	12543
343	9441	12515
344	9461	12478
345	9488	12450
346	9506	12410
347	9542	12394
348	9569	12366
349	9593	12334
350	9612	12295
351	9635	12263
352	9657	12229
353	9682	12198
354	9698	12157
355	9718	12120
356	9737	12083
357	9752	12040
358	9769	12001
359	9788	11964
360	9809	11929
361	9827	11890
362	9843	11850
363	9860	11811
364	9879	11774
365	9895	11733
366	9913	11695
367	9927	11654
368	9945	11616
369	9961	11576
370	9978	11538
371	9993	11498
372	10011	11460
373	10026	11420
374	10041	11379
375	10059	11343
376	10076	11305
377	10096	11271
378	10110	11230
379	10131	11198
380	10147	11159
381	10162	11120
382	10182	11086
383	10199	11049
384	10218	11014
385	10233	10976
386	10250	10938
387	10269	10904
388	10285	10867
389	10301	10829
390	10322	10797
391	10338	10760
392	10361	10730
393	10391	10707
394	10419	10683
395	10449	10660
396	10478	10636
397	10519	10625
398	10547	10600
399	10574	10574
400	10603	10550
401	10662	10556
402	10711	10551
403	10741	10529
404	10775	10509
405	10812	10492
406	10837	10465
407	10861	10435
408	10891	10411
409	10921	10388
410	10951	10364
411	10977	10338
412	11006	10313
413	11033	10287
414	11058	10258
415	11078	10226
416	11102	10197
417	11123	10165
418	11144	10133
419	11173	10109
420	11197	10080
421	11222	10052
422	11245	10022
423	11267	9991
424	11289	9961
425	11311	9930
426	11332	9899
427	11354	9869
428	11378	9840
429	11405	9814
430	11425	9782
431	11446	9751
432	11469	9721
433	11492	9691
434	11525	9670
435	11553	9645
436	11573	9613
437	11609	9595
438	11629	9563
439	11662	9542
440	11692	9518
441	11718	9491
442	11743	9463
443	11763	9432
444	11787	9403
445	11804	9369
446	11830	9342
447	11851	9311
448	11878	9285
449	11903	9258
450	11928	9230
451	11954	9204
452	11981	9177
453	12004	9148
454	12034	9125
455	12053	9093
456	12078	9065
457	12105	9039
458	12130	9011
459	12164	8991
460	12189	8963
461	12211	8933
462	12241	8910
463	12267	8883
464	12291	8854
465	12319	8829
466	12340	8799
467	12358	8766
468	12380	8737
469	12405	8710
470	12430	8682
471	12451	8652
472	12469	8620
473	12489	8589
474	12515	8563
475	12537	8534
476	12564	8508
477	12591	8482
478	12621	8458
479	12641	8427
480	12666	8400
481	12689	8371
482	12720	8348
483	12745	8321
484	12764	8290
485	12788	8262
486	12824	8242
487	12851	8216
488	12877	8189
489	12907	8165
490	12928	8136
491	12949	8106
492	12970	8077
493	13001	8053
494	13021	8023
495	13046	7996
496	13071	7969
497	13095	7941
498	13127	7918
499	13153	7891
500	13180	7866
501	13206	7839
502	13228	7811
503	13262	7789
504	13287	7761
505	13325	7742
506	13352	7716
507	13372	7686
508	13404	7663
509	13433	7638
510	13457	7610
511	13485	7585
512	13538	7574
513	13571	7551
514	13600	7526
515	13624	7498
516	13655	7474
517	13676	7445
518	13704	7419
519	13726	7391
520	13755	7366
521	13784	7341
522	13808	7313
523	13835	7287
524	13864	7262
525	13890	7235
526	13922	7212
527	13953	7188
528	13982	7163
529	14010	7137
530	14034	7109
531	14068	7087
532	14094	7060
533	14118	7032
534	14145	7006
535	14166	6977
536	14202	6955
537	14230	6930
538	14257	6903
539	14292	6881
540	14325	6858
541	14352	6831
542	14382	6807
543	14412	6782
544	14436	6754
545	14464	6728
546	14480	6697
547	14500	6668
548	14527	6641
549	14551	6614
550	14575	6586
551	14604	6561
552	14628	6533
553	14645	6503
554	14669	6475
555	14695	6449
556	14719	6421
557	14746	6395
558	14771	6368
559	14793	6340
560	14817	6312
561	14846	6287
562	14879	6263
563	14900	6235
564	14928	6209
565	14948	6180
566	14967	6150
567	14997	6125
568	15022	6098
569	15040	6069
570	15066	6042
571	15089	6014
572	15119	5989
573	15139	5960
574	15161	5932
575	15185	5905
576	15216	5880
577	15238	5852
578	15261	5825
579	15284	5797
580	15303	5768
581	15327	5741
582	15351	5714
583	15376	5687
584	15401	5660
585	15430	5635
586	15456	5608
587	15486	5583
588	15509	5556
589	15539	5531
590	15568	5505
591	15596	5479
592	15627	5455
593	15650	5427
594	15672	5399
595	15699	5373
596	15719	5345
597	15738	5316
598	15765	5290
599	15786	5262
600	15812	5235
601	15842	5210
602	15859	5181
603	15881	5153
604	15911	5128
605	15932	5100
606	15962	5075
607	15994	5050
608	16019	5024
609	16048	4998
610	16080	4974
611	16109	4948
612	16129	4920
613	16150	4892
614	16183	4868
615	16216	4843
616	16243	4817
617	16271	4791
618	16296	4765
619	16322	4738
620	16348	4712
621	16369	4684
622	16388	4656
623	16419	4631
624	16448	4605
625	16475	4579
626	16507	4554
627	16536	4529
628	16568	4504
629	16591	4477
630	16622	4451
631	16649	4425
632	16670	4398
633	16698	4372
634	16723	4345
635	16747	4318
636	16771	4291
637	16797	4265
638	16825	4239
639	16855	4213
640	16875	4186
641	16905	4160
642	16930	4133
643	16950	4106
644	16980	4080
645	17008	4054
646	17034	4028
647	17052	4000
648	17083	3974
649	17108	3948
650	17135	3922
651	17165	3896
652	17186	3868
653	17218	3843
654	17241	3816
655	17263	3789
656	17284	3762
657	17307	3734
658	17327	3707
659	17347	3679
660	17373	3653
661	17391	3625
662	17413	3598
663	17430	3570
664	17449	3542
665	17471	3515
666	17490	3487
667	17506	3459
668	17528	3432
669	17547	3404
670	17570	3378
671	17585	3349
672	17602	3321
673	17622	3294
674	17637	3266
675	17651	3237
676	17668	3210
677	17685	3182
678	17703	3154
679	17718	3126
680	17735	3099
681	17753	3071
682	17769	3044
683	17787	3016
684	17804	2989
685	17818	2961
686	17832	2933
687	17845	2905
688	17861	2877
689	17876	2849
690	17893	2822
691	17909	2795
692	17928	2768
693	17945	2740
694	17958	2713
695	17972	2685
696	17987	2658
697	18003	2630
698	18018	2603
699	18036	2576
700	18052	2549
701	18068	2522
702	18084	2495
703	18105	2468
704	18120	2441
705	18137	2414
706	18154	2388
707	18171	2361
708	18187	2334
709	18203	2307
710	18225	2281
711	18240	2254
712	18253	2227
713	18269	2200
714	18283	2173
715	18300	2147
716	18317	2120
717	18330	2093
718	18349	2067
719	18363	2040
720	18377	2013
721	18394	1987
722	18410	1960
723	18426	1934
