place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category,population_density,emergency_accessibility,residential_proximity,health_market_opportunity,stable_customer_base
ChIJX6TVOWXAwjsRV9hVtttnnYk,Mukundrao Lele Hospital,18.5198803,73.8543558,3.7,15,74.0,0,10,Low,33300,Low,2034,cell_2034,0.0016562386170581,18.521422639029137,73.85495938651064,11,0.0,36273.34150768984,0.0,20.18,Pune,Grade B,Low,Sutarwadi,0.0,76233,PMC_24,Kasba Peth,PMC,0.0,3,0.0,4,0.0,25000.0,3000.0,45.74,Low,215.89632729344805,0.0008071677132914,4.0,3.0,0.1424261649812903,1.275613744158269,36273.34150768984,health,76.233,36277.34150768984,0.00461049761643524,6352.75,25000.0
ChIJAQAAEDG_wjsRhASOfQ3gKEI,Walke Dr Dilip,18.5204303,73.8567437,4.5,2,90.0,1,10,Low,40500,Low,2034,cell_2034,0.0020416932622289,18.521422639029137,73.85495938651064,11,0.0,36273.34150768984,0.0,20.18,Pune,Grade B,Low,Sutarwadi,0.0,76233,PMC_24,Kasba Peth,PMC,0.0,3,0.0,4,0.0,25000.0,3000.0,45.74,Low,215.89632729344805,0.0008071677132914,4.0,3.0,0.1424261649812903,1.275613744158269,36273.34150768984,health,76.233,36277.34150768984,0.00461049761643524,6352.75,25000.0
ChIJV5iMp46_wjsRubepIAT8PAo,Skin Solutions,18.5048234,73.8217428,4.9,132,98.0,1,13,High,57330,Low,1617,cell_1617,0.001828621796739,18.504386050814137,73.82351835156645,13,0.0,28125.78928371212,0.0,28.31,Central Pune,Grade B,Low,left bhusari colony Kothrud,1514.452664452555,91381,PMC_5,Karve Nagar,PMC,1051.7710870716492,1,176.8061215627909,2,0.0,45000.0,5000.0,57.69,Unknown,3925.781948140169,0.0006303359340926,2.0,0.849757646290968,0.1407215769476407,1.282291553644174,28125.78928371212,health,91.381,28127.78928371212,0.00025466145388430015,6527.214285714285,45000.0
ChIJ54TqDNy_wjsREwUAXlfq8uQ,Asha Skin Clinic,18.4866495,73.8125719,4.5,173,90.0,1,15,High,60750,Low,1495,cell_1495,0.0020837751140986,18.487347767027387,73.81453519872525,9,0.0,33346.10204208189,0.0,27.84,Central Pune,Grade B,High,Karve Nagar,647.7695712540299,91381,PMC_5,Karve Nagar,PMC,649.5234909025456,2,0.0,1,633.2201598291753,45000.0,5000.0,57.69,Unknown,5768.486042857425,0.0006303359340926,0.6122873232868946,2.0,0.0974226301945205,0.8877403063690436,33346.10204208189,health,91.381,33346.71432940518,0.0001733256641183822,9138.1,45000.0
ChIJ1efIEqTBwjsRTAnSvZusDPo,Dr.Khan's Skin Clinic ( Herbal),18.5188676,73.90614970000001,4.6,108,92.0,1,10,High,41400,Low,2682,cell_2682,0.002466259190655,18.51716365100839,73.90436672713722,8,0.0,19018.29342963636,991.7377480813302,43.59,Central Pune,Grade A,High,Koregaon Park,2105.968699310686,79703,PMC_22,Koregaon Park,PMC,2105.968699310686,1,83.02593673002079,1,1382.6676071679992,45000.0,5000.0,57.69,Unknown,5038.713850784378,0.0006303359340926,0.4196976519056236,0.9233389211520632,0.0991289047495136,0.8918319342719865,9548.59315587956,health,79.703,19018.713127288265,0.0001984239640598564,8855.888888888889,45000.0
ChIJfT-5w16VwjsRdUKmg73NJSE,Radiance Speciality Skin Clinic,18.4769581,73.8229533,4.8,202,96.0,1,19,High,82080,Low,1611,cell_1611,0.0019533998081678,18.478827989712737,73.82351835156645,20,0.0,35173.95603763313,0.0,27.84,Central Pune,Grade B,High,Karve Nagar,838.2949509657919,83098,PMC_31,Sinhagad Road,PMC,222.7638008138165,8,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,5797.51717642267,0.0006303359340926,2.0,8.0,0.2378177840138885,2.148273861951922,35173.95603763313,health,83.098,35175.95603763313,0.00017245788355445363,3957.0476190476193,45000.0
ChIJD3qI88C_wjsR4ko7Gia7f0k,Asha Endoscopy Center,18.5014674,73.8149708,3.6,17,72.0,0,10,Low,32400,Low,1498,cell_1498,0.0014097478969321,18.500126638775043,73.81453519872525,25,0.0,37021.2154072276,0.0,28.31,Central Pune,Grade B,Low,left bhusari colony Kothrud,790.9433865426234,91381,PMC_5,Karve Nagar,PMC,724.2564868891834,1,0.0,3,0.0,45000.0,5000.0,57.69,Unknown,4984.8177363730265,0.0006303359340926,3.0,1.0,0.2706184172070014,2.4659452954695653,37021.2154072276,health,91.381,37024.2154072276,0.00020056890421499003,3514.653846153846,45000.0
ChIJVwl4N0XAwjsRmmqOOCsk-Is,Dr. Poorva Shah,18.5192849,73.87557559999999,4.1,148,82.0,1,12,High,44280,Low,2328,cell_2328,0.002809170797016,18.51716365100839,73.87741726861361,63,0.0,33379.849148776884,0.0,13.81,Pune,Grade C,Low,manjari farm,2060.3375048009416,76984,PMC_23,Camp,PMC,215.3166116764769,2,0.0,1,499.3433406394906,45000.0,5000.0,57.69,Unknown,2213.815644218686,0.0006303359340926,0.6669586430907054,2.0,0.8078580221583915,7.24271130322818,33379.849148776884,health,76.984,33380.51610741997,0.00045150484764286874,1202.875,45000.0
ChIJRYaIbG_AwjsRsijUOVRt6As,Dr. Ashutosh Shende,18.5116391,73.83672829999999,4.9,105,98.0,1,10,High,44100,Low,1796,cell_1796,0.0012928612391276,18.51290455695171,73.83699308082824,5,0.0,36065.67151084551,0.0,34.5,Central Pune,Grade A,Low,Deccan Gymkhana,383.2807033263226,78493,PMC_35,Sadashiv Peth,PMC,1086.6041281968355,4,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,2238.790902710085,0.0006303359340926,2.0,4.0,0.0628986200042771,0.5650164419784616,36065.67151084551,health,78.493,36067.67151084551,0.000446470248088796,13082.166666666666,45000.0
ChIJG_74_1fAwjsRugrtAw-yUDw,Clear Skin Clinic,18.5315156,73.877015,4.6,2565,92.0,1,242,High,1001879,High,2331,cell_2331,0.0016258536095522,18.529940296879264,73.87741726861361,3,0.0,14009.514876725156,0.0,43.59,Central Pune,Grade A,High,Koregaon Park,1860.6621022284828,76264,PMC_26,Rasta Peth,PMC,1315.9660237877367,8,0.0,1,22.52888344414532,45000.0,5000.0,57.69,Unknown,2428.268071524093,0.0006303359340926,0.9779674845288848,8.0,0.0388279146821288,0.3477696373921914,14009.514876725156,health,76.264,14010.492844209684,0.00041164662382139335,19066.0,45000.0
ChIJ-00w0b-_wjsR0TXTA6QiF5s,ETERNIS Skin Hair Laser Clinic,18.508706,73.8355125,4.8,470,96.0,1,46,High,198720,Low,1795,cell_1795,0.0014818222487752,18.508645356879995,73.83699308082824,2,0.0,21283.039756011945,0.0,34.5,Central Pune,Grade A,Low,Deccan Gymkhana,769.7225382912899,78493,PMC_35,Sadashiv Peth,PMC,1086.7032548388484,3,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,2454.7997287439407,0.0006303359340926,2.0,3.0,0.0251594480017108,0.2260065767913846,21283.039756011945,health,78.493,21285.039756011945,0.00040719932830657427,26164.333333333332,45000.0
ChIJmRmu93rAwjsRA_Af41ar8n8,Parivartan,18.5197375,73.8509002,3.0,1,60.0,0,10,Low,27000,Low,1975,cell_1975,0.0017397283068771,18.521422639029137,73.85046781009004,9,0.0,34984.19101111835,0.0,27.93,Pune,Grade B,Low,Adarsh Colony,443.76420730538666,76233,PMC_24,Kasba Peth,PMC,287.91692019440234,1,0.0,1,72.92558762617409,45000.0,5000.0,57.69,Unknown,666.8630438882973,0.0006303359340926,0.9320310854105732,1.0,0.1165304986210557,1.043683972493129,34984.19101111835,health,76.233,34985.12304220376,0.0014973129732976421,7623.3,45000.0
