place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category
ChIJC3DOOeu_wjsR5vh12EOme4M,Karishma Society,18.5033094,73.8229386,4.4,1148,88.0,1,103,High,407880,Medium,1617,cell_1617,0.0012228200417,18.504386050814137,73.82351835156645,13,0.0,28125.78928371212,0.0,28.31,Central Pune,Grade B,Low,left bhusari colony Kothrud,1514.452664452555,91381,PMC_5,Karve Nagar,PMC,1051.7710870716492,1,176.8061215627909,2,0.0,45000.0,5000.0,57.69,Unknown,3925.781948140169,0.0006303359340926,2.0,0.849757646290968,0.1407215769476407,1.282291553644174,28125.78928371212,other
ChIJdbOcs7O7wjsR9Hd7AL7cZ6w,"Crystal Market, Maan",18.5776553,73.6900519,4.2,3660,84.0,1,315,High,1190700,High,41,cell_41,0.0122252757428788,18.5767798245269,73.7022457882103,1,0.0,3976.7698299470258,53.24453291205846,19.55,West Pune,Grade B,Low,Hinjewadi Lakshmi chowk,3557.5104936097264,49146,PCMC_29,Maan–Hinjewadi,PCMC,1242.766984275711,1,108.38450156399674,1,1727.876730306015,45000.0,5000.0,57.69,Unknown,17447.58218819031,0.0006303359340926,0.3665854797946897,0.9022139867428136,0.0199417700315079,0.1690731410408142,3775.7327056347217,other
ChIJx6jM5Xu7wjsRbN_pukRwQRo,Happiness street,18.5871077,73.7001022,4.6,105,92.0,1,10,High,41400,Low,43,cell_43,0.0028074657418531,18.58529472082849,73.7022457882103,1,8.705257468856871,1362.1698069389367,0.0,19.55,West Pune,Grade B,Low,Hinjewadi Lakshmi chowk,3281.581261867584,49146,PCMC_29,Maan–Hinjewadi,PCMC,321.9709513867137,1,1102.330164278342,1,775.9747289874866,45000.0,5000.0,57.69,Unknown,17809.34525870102,0.0006303359340926,0.5630710750992032,0.4756626799117758,0.0199417700315079,0.1690731410408142,1362.1698069389367,other
ChIJZ4N6ZJu7wjsRJoq_gYV1XsM,Photo prints & Premium wall photo frame shop in Hinjewadi Pune.,18.5782047,73.7365389,4.5,182,90.0,1,16,High,64800,Low,513,cell_513,0.0021721484688144,18.5767798245269,73.73817839957509,3,0.0,11513.516790259944,835.0565478526197,19.55,West Pune,Grade B,Low,Hinjewadi Lakshmi chowk,1464.7911229984652,51550,PCMC_28,Wakad–Hinjewadi,PCMC,1385.4603997333577,1,569.2752714687958,1,905.214331048208,45000.0,5000.0,57.69,Unknown,13978.999856771668,0.0006303359340926,0.5248753296170209,0.6372368303898839,0.0570884871550903,0.4874086108854589,6274.202723470861,other
ChIJr7yn4H67wjsRqu_HzgVeaKM,Grand Highstreet - Shopping Mall in Hinjewadi,18.5935247,73.7261139,4.3,32,86.0,1,10,Medium,38700,Low,340,cell_340,0.0014386393809831,18.593809191650617,73.7247036703133,12,0.0,4769.923691150736,0.0,19.55,West Pune,Grade B,Low,Hinjewadi Lakshmi chowk,753.5839121332142,51550,PCMC_28,Wakad–Hinjewadi,PCMC,1546.1307524452866,1,0.0,1,125.50621105264872,45000.0,5000.0,57.69,Unknown,16131.805994020971,0.0006303359340926,0.8884890995534649,1.0,0.2283539486203615,1.949634443541836,4769.923691150736,other
ChIJJ18viuu7wjsRIFlgZyoq0g8,"PVR Grand Highstreet Mall, Hinjawadi",18.5938285,73.7252894,4.4,6623,88.0,1,598,High,2368080,High,340,cell_340,0.0005860478463629,18.593809191650617,73.7247036703133,12,0.0,4769.923691150736,0.0,19.55,West Pune,Grade B,Low,Hinjewadi Lakshmi chowk,753.5839121332142,51550,PCMC_28,Wakad–Hinjewadi,PCMC,1546.1307524452866,1,0.0,1,125.50621105264872,45000.0,5000.0,57.69,Unknown,16131.805994020971,0.0006303359340926,0.8884890995534649,1.0,0.2283539486203615,1.949634443541836,4769.923691150736,other
ChIJEahzm1C7wjsRlGHabFTEF-M,Mezza9 Chouk,18.5940849,73.73504460000001,4.2,424,84.0,1,36,High,136080,Low,458,cell_458,0.001385486577387,18.593809191650617,73.7336868231545,8,0.0,21628.77853369865,0.0,19.55,West Pune,Grade B,Low,Hinjewadi Lakshmi chowk,56.44733304856345,51550,PCMC_28,Wakad–Hinjewadi,PCMC,553.9402990674947,4,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,15322.528390274856,0.0006303359340926,2.0,4.0,0.1522359657469077,1.2997562956945572,21628.77853369865,other
ChIJExZBAHe5wjsRkXwtMurbBMM,Pimpri Market,18.624074,73.8002394,4.2,9091,84.0,1,784,High,2963520,High,1350,cell_1350,0.0009448407085044,18.623606486470138,73.80106046946347,37,0.0,42616.01649300398,227.8953375731916,24.92,PCMC,Grade B,Low,Vallabhnagar Pimpri Pune,477.5690943626687,51628,PCMC_3,Chinchwad Gaon,PCMC,254.3680420201272,1,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,12887.728087779711,0.0006303359340926,1.0,1.0,0.7030478072508931,6.003764522619589,34706.55453194418,other
ChIJc0jYcwO5wjsRx5qjCzNt-kY,Vi - Vodafone Idea Store,18.5988205,73.7977593,4.6,318,92.0,1,30,High,124199,Low,1285,cell_1285,0.001409232222115,18.59806626745477,73.79656889304287,18,0.0,18699.30039091146,0.0,26.29,PCMC,Grade B,Low,pimple Saudagar,387.9839081503451,59089,PCMC_17,Rahatani,PCMC,0.0,1,214.1013146005571,1,30.51475931610912,25000.0,3000.0,35.45,Low,10712.5817456904,0.0010515579376824,0.9703888187527174,0.8236544907531074,0.2995556591056599,2.605335147418547,18699.30039091146,other
ChIJQyrCaAC_wjsRww9fHh-Ny7w,Westend Mall,18.5616924,73.8071678,4.3,92,86.0,1,10,Medium,38700,Low,1394,cell_1394,0.0025275309629518,18.55974875615261,73.80555204588406,46,0.0,26484.245481581056,424.9337432709125,28.14,West Pune,Grade B,Medium,Aundh Gaon,0.0,92644,PMC_1,Aundh,PMC,0.0,4,0.0,1,214.052808299946,75000.0,8000.0,138.97,High,6944.066916949037,0.0003751949974,0.8236873990681781,4.0,0.491222075092905,4.481508904563345,18586.299613332823,other
ChIJO9yVJjC_wjsRJ6QzzX6riJM,Cinepolis Nexus Westend Mall,18.5619631,73.80703849999999,4.3,27010,86.0,1,2386,High,9233820,High,1395,cell_1395,0.002527009289503,18.564006682665436,73.80555204588406,34,0.0,22379.65746635684,424.0600637188761,21.3,West Pune,Grade B,Low,Aundh Road,337.9236837076023,92644,PMC_1,Aundh,PMC,337.9236837076023,1,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,7251.664619531586,0.0006303359340926,1.0,1.0,0.3630771859382341,3.312419625112037,15715.38872308044,other
ChIJAbThvYzBwjsRFl6uxVHvemg,Deccan Corner,18.5142969,73.84231919999999,4.3,4521,86.0,1,399,High,1544130,High,1855,cell_1855,0.0016232931859715,18.51290455695171,73.84148465724884,8,0.0,21417.45676018438,0.0,34.5,Central Pune,Grade A,Low,Deccan Gymkhana,195.5686884112656,78493,PMC_35,Sadashiv Peth,PMC,586.6041281968355,1,0.0,4,0.0,45000.0,5000.0,57.69,Unknown,1807.864016379428,0.0006303359340926,4.0,1.0,0.1006377920068433,0.9040263071655386,21417.45676018438,other
ChIJ5YHDNRzBwjsR8lase57Xf-g,"sadashiv peth,pune",18.509591,73.8490672,4.7,64,94.0,1,10,Medium,42300,Low,1972,cell_1972,0.0016899554830667,18.508645356879995,73.85046781009004,34,0.0,31202.785987957413,105.92600252924429,35.2,Central Pune,Grade A,Medium,Sadashiv Peth,14.67762456741184,78493,PMC_35,Sadashiv Peth,PMC,14.67762456741184,2,0.0,1,317.2800366555397,45000.0,5000.0,57.69,Unknown,1462.9440357842566,0.0006303359340926,0.7591400250313621,2.0,0.4277106160290843,3.842111805453539,28214.171578023197,other
ChIJT1GshnPAwjsRtJvDmiYROF8,Agraj Food Processors (Tilak Road ),18.5093498,73.8481487,4.3,103,86.0,1,10,High,38700,Low,1913,cell_1913,0.0022838235629509,18.508645356879995,73.84597623366945,37,0.0,33609.19892721213,0.0,35.2,Central Pune,Grade A,Medium,Sadashiv Peth,376.3211483259576,78493,PMC_35,Sadashiv Peth,PMC,87.83910110922022,4,0.0,1,248.4319687746465,45000.0,5000.0,57.69,Unknown,1728.2670732170914,0.0006303359340926,0.801004800430987,4.0,0.4654497880316506,4.181121670640616,33609.19892721213,other
ChIJBQKcmwLBwjsRlZJ784y3byU,Laxmi Road Market,18.5153778,73.8656771,4.7,19,94.0,1,10,Low,42300,Low,2151,cell_2151,0.0024895711410517,18.51716365100839,73.86394253935183,25,0.0,40679.36881886009,195.67293783570457,13.81,Pune,Grade C,Low,manjari farm,571.2120933642157,90903,PMC_9,Bhavani Peth,PMC,0.0,4,0.0,1,23.062032253015783,25000.0,3000.0,54.54,Low,844.1793610398721,0.0005523779048838,0.9774578358633564,4.0,0.2720259403936759,2.4776270279377224,34022.15399513356,other
