place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category,tech_hub_proximity,high_value_customer_score,showroom_accessibility,electronics_competition,electronics_market_potential
ChIJUZDuUraVwjsRyQYVdUz0E08,EXIDE CARE-Kiran Automobile's & Battery point,18.4389242,73.7737671,4.8,6,96.0,1,10,Low,259200,Medium,953,cell_953,0.0015970240291961,18.44048375474904,73.77411101093988,9,0.0,25846.082357746363,0.0,15.79,South Pune,Grade C,High,Narhe,2999.0541385613424,82537,PMC_32,Narhe,PMC,5168.244894919228,1,494.872764155516,1,0.0,45000.0,5000.0,57.69,Unknown,12443.004869349736,0.0006303359340926,1.0,0.6689532540683624,0.1077366915259106,0.972583939397214,25846.082357746363,retail_electronics,1,2596050.0,25846.082357746363,0.10773669152591067,52.07916325361747
ChIJX95XAbeVwjsRxn_FCcmJX98,सिध्दी गणेश इलेक्ट्रॉनिक,18.4390394,73.7735795,3.3,3,66.0,0,10,Low,178199,Low,953,cell_953,0.0015390466270703,18.44048375474904,73.77411101093988,9,0.0,25846.082357746363,0.0,15.79,South Pune,Grade C,High,Narhe,2999.0541385613424,82537,PMC_32,Narhe,PMC,5168.244894919228,1,494.872764155516,1,0.0,45000.0,5000.0,57.69,Unknown,12443.004869349736,0.0006303359340926,1.0,0.6689532540683624,0.1077366915259106,0.972583939397214,25846.082357746363,retail_electronics,1,2596050.0,25846.082357746363,0.10773669152591067,52.07916325361747
ChIJK7Wq6q-VwjsRAAAAMFou8DM,SANKALP MOBILE SHOPEE,18.441485,73.7845569,5.0,4,100.0,1,10,Low,270000,Medium,1071,cell_1071,0.0017725939463743,18.44048375474904,73.78309416378107,3,0.0,927.5025051356772,72.95920216070797,15.79,South Pune,Grade C,High,Narhe,2389.5688076203214,82537,PMC_32,Narhe,PMC,4202.394440208506,1,42.79646631433499,1,235.9947618164588,45000.0,5000.0,57.69,Unknown,11799.274293230628,0.0006303359340926,0.8090649175004325,0.9589599047399968,0.0359122305086368,0.324194646465738,864.4340840433518,retail_electronics,1,2596050.0,699.3832908910964,0.035912230508636886,55.69004622300288
ChIJ6wpRiuGVwjsRdqq4GUojcS8,Renu Enterprises - The Smart Computer's Shoppe,18.4417502,73.7868173,5.0,13,100.0,1,10,Low,270000,Medium,1130,cell_1130,0.0014813453065426,18.44048375474904,73.78758574020166,7,0.0,21158.0035133983,247.87203798796097,15.79,South Pune,Grade C,High,Narhe,2194.97056165158,82537,PMC_32,Narhe,PMC,3726.231460834621,1,508.688531770736,1,236.75010680828632,45000.0,5000.0,57.69,Unknown,11493.183145727511,0.0006303359340926,0.8085707811909768,0.6628273357565115,0.0837952045201527,0.7564541750867221,16955.26694188369,retail_electronics,1,2596050.0,13709.533436500438,0.08379520452015274,53.22961363862289
ChIJoTDJNQCVwjsRxYycDyn_Fiw,R R Click photography,18.4443669,73.785652,4.5,2,90.0,1,10,Low,243000,Medium,1131,cell_1131,0.001970290558062,18.444744648217277,73.78758574020166,14,0.0,22531.37283699253,0.0,15.79,South Pune,Grade C,High,Narhe,1723.0659012609517,82537,PMC_32,Narhe,PMC,3595.5202842824524,1,506.932484826073,1,0.0,45000.0,5000.0,57.69,Unknown,11130.856153743089,0.0006303359340926,1.0,0.6635997365969704,0.1675904090403054,1.5129083501734442,22531.37283699253,retail_electronics,1,2596050.0,22531.37283699253,0.16759040904030548,49.409450054850986
ChIJ33o-CXDAwjsR-5Z9lpkTdUU,SJS Computers एस जे एस कॉम्प्युटर्स,18.4334784,73.8106487,5.0,2,100.0,1,10,Low,270000,Medium,1423,cell_1423,0.0016329871356202,18.431961650855385,73.81004362230465,17,0.0,17801.281979600557,2541.630868506309,15.79,South Pune,Grade C,High,Narhe,3383.37136892108,82537,PMC_32,Narhe,PMC,2433.573465679593,1,1731.0306805766488,1,1455.2545217158847,45000.0,5000.0,57.69,Unknown,10996.237198019624,0.0006303359340926,0.4072897498631375,0.366162125937323,0.2035026395489423,1.837102996639182,5026.295128014933,retail_electronics,1,2596050.0,2047.1584854275086,0.20350263954894238,47.935083899459904
ChIJUVIzRwCVwjsRSitkqYZGiFI,Sagar Electrician and plumber,18.436607,73.8182988,5.0,30,100.0,1,10,Medium,270000,Medium,1542,cell_1542,0.0008231594957461,18.43622275562143,73.81902677514584,1,0.0,16620.799355749714,1780.7996662853875,15.79,South Pune,Grade C,High,Narhe,3509.12745763618,82537,PMC_32,Narhe,PMC,1707.2225294522525,1,953.6406308102888,1,770.7756549019487,45000.0,5000.0,57.69,Unknown,10168.414432382351,0.0006303359340926,0.564724276184705,0.5118648661526054,0.0119707435028789,0.108064882155246,5976.98552587641,retail_electronics,1,2596050.0,3375.348824867014,0.011970743502878963,57.007576918982224
ChIJbTFrOACVwjsRedyeZ6R5wf0,Rathodsolar,18.43855,73.8138402,5.0,1,100.0,1,10,Low,270000,Medium,1484,cell_1484,0.0020548553860423,18.44048375474904,73.81453519872525,25,0.0,35544.76437790613,1799.186360611862,15.79,South Pune,Grade C,High,Narhe,2803.066029786361,82537,PMC_32,Narhe,PMC,1316.393600494868,1,631.897461089222,1,590.6420908060176,45000.0,5000.0,57.69,Unknown,9936.771753962674,0.0006303359340926,0.6286769385646492,0.6127835993644739,0.299268587571974,2.70162205388115,12698.248633269475,retail_electronics,1,2596050.0,7983.096075896595,0.29926858757197405,44.40190469609442
ChIJez86cwCVwjsRH00q5eW7xpo,Raykar mala,18.439487,73.8091769,3.7,3,74.0,0,10,Low,199800,Low,1425,cell_1425,0.0013208813660268,18.44048375474904,73.81004362230465,12,0.0,18698.069363788854,1767.3705391244646,15.79,South Pune,Grade C,High,Narhe,2499.864493763058,82537,PMC_32,Narhe,PMC,1583.7330086872246,1,994.8450026457324,1,570.2623259664979,45000.0,5000.0,57.69,Unknown,10157.584125322152,0.0006303359340926,0.6368362683505758,0.5012920796722128,0.1436489220345475,1.296778585862952,6756.619361028725,retail_electronics,1,2596050.0,4302.860260542785,0.14364892203454754,50.443802191820964
ChIJt8I54kuVwjsR-iAZuc-Y67M,Ojasvi Laptop House,18.4401119,73.7998149,4.9,192,98.0,1,19,High,502740,High,1307,cell_1307,0.001299892011937,18.44048375474904,73.80106046946347,2,0.0,0.0,1189.8814245928688,15.79,South Pune,Grade C,High,Narhe,2129.227354428629,82537,PMC_32,Narhe,PMC,2357.7206165211305,1,500.9440364097245,1,76.62554270983674,45000.0,5000.0,57.69,Unknown,10648.800230878616,0.0006303359340926,0.9288280468277093,0.6662473588235918,0.0239414870057579,0.216129764310492,0.0,retail_electronics,1,2596050.0,0.0,0.023941487005757926,56.34111004594503
ChIJf5bSWACVwjsRJXm70j80YnU,Karunya Photo Studio,18.4425964,73.81092509999999,5.0,9,100.0,1,10,Low,270000,Medium,1425,cell_1425,0.0022891642325924,18.44048375474904,73.81004362230465,12,0.0,18698.069363788854,1767.3705391244646,15.79,South Pune,Grade C,High,Narhe,2499.864493763058,82537,PMC_32,Narhe,PMC,1583.7330086872246,1,994.8450026457324,1,570.2623259664979,45000.0,5000.0,57.69,Unknown,10157.584125322152,0.0006303359340926,0.6368362683505758,0.5012920796722128,0.1436489220345475,1.296778585862952,6756.619361028725,retail_electronics,1,2596050.0,4302.860260542785,0.14364892203454754,50.443802191820964
ChIJgfuG3gTrwjsRt6fixAnmuzA,Prime cctv And computers,18.4385095,73.824328,4.3,6,86.0,1,10,Low,232200,Medium,1602,cell_1602,0.0021338257660981,18.44048375474904,73.82351835156645,10,0.0,32061.00358174587,1074.0836787544545,15.79,South Pune,Grade C,High,Narhe,3545.827481374745,82537,PMC_32,Narhe,PMC,1207.03478502715,1,457.6055585162084,1,270.3659190053586,45000.0,5000.0,57.69,Unknown,9550.472999157915,0.0006303359340926,0.7871747699142909,0.686056659263817,0.1197074350287896,1.08064882155246,15457.912286836665,retail_electronics,1,2596050.0,12168.078547745943,0.11970743502878962,51.52238718368132
ChIJvyWjODSVwjsRSGIupLGxhZ0,Laxami Electricals,18.4387258,73.8240568,4.0,2,80.0,1,10,Low,216000,Medium,1602,cell_1602,0.001838567816336,18.44048375474904,73.82351835156645,10,0.0,32061.00358174587,1074.0836787544545,15.79,South Pune,Grade C,High,Narhe,3545.827481374745,82537,PMC_32,Narhe,PMC,1207.03478502715,1,457.6055585162084,1,270.3659190053586,45000.0,5000.0,57.69,Unknown,9550.472999157915,0.0006303359340926,0.7871747699142909,0.686056659263817,0.1197074350287896,1.08064882155246,15457.912286836665,retail_electronics,1,2596050.0,12168.078547745943,0.11970743502878962,51.52238718368132
ChIJ3zzCfBSVwjsRRr_w92UWDcc,OM SAI MAINTENANCE SERVICES,18.4432724,73.8098463,5.0,15,100.0,1,10,Low,270000,Medium,1426,cell_1426,0.0014854127053351,18.444744648217277,73.81004362230465,10,0.0,39221.32726262651,1278.6606008236138,15.79,South Pune,Grade C,High,Narhe,2097.708945671061,82537,PMC_32,Narhe,PMC,1245.461945536008,1,852.4654285917226,1,70.26232596649788,45000.0,5000.0,57.69,Unknown,9745.764888125166,0.0006303359340926,0.9343503697534644,0.5398211402845007,0.1197074350287896,1.08064882155246,17212.44807078777,retail_electronics,1,2596050.0,16082.457219302858,0.11970743502878962,51.52238718368132
ChIJD1mrMhqVwjsRj9M-PqAybF4,Suraj Electricals And Electronics,18.4432532,73.8108283,5.0,1,100.0,1,10,Low,270000,Medium,1426,cell_1426,0.0016852705629618,18.444744648217277,73.81004362230465,10,0.0,39221.32726262651,1278.6606008236138,15.79,South Pune,Grade C,High,Narhe,2097.708945671061,82537,PMC_32,Narhe,PMC,1245.461945536008,1,852.4654285917226,1,70.26232596649788,45000.0,5000.0,57.69,Unknown,9745.764888125166,0.0006303359340926,0.9343503697534644,0.5398211402845007,0.1197074350287896,1.08064882155246,17212.44807078777,retail_electronics,1,2596050.0,16082.457219302858,0.11970743502878962,51.52238718368132
ChIJzwn2OmqVwjsRXpPv-PrG7fw,RATHORE GAS STOVE REPAIR AND HOME SERVICE PUNE,18.4430413,73.81429949999999,5.0,2,100.0,1,10,Low,270000,Medium,1485,cell_1485,0.0017195781571004,18.444744648217277,73.81453519872525,8,0.0,41408.34335086838,1395.242054357626,15.79,South Pune,Grade C,High,Narhe,2451.171046849534,82537,PMC_32,Narhe,PMC,880.8276371667117,1,439.89155414607376,1,242.7492416365749,45000.0,5000.0,57.69,Unknown,9515.406510983104,0.0006303359340926,0.8046675600325464,0.6944967467310752,0.0957659480230317,0.8645190572419681,17287.74896697177,retail_electronics,1,2596050.0,13910.890779708347,0.0957659480230317,52.64810437309503
ChIJPwnQvxmVwjsR2iK3q0OWKeg,Beats Pro Audio Light & Genset,18.443912,73.8140109,5.0,1,100.0,1,10,Low,270000,Medium,1485,cell_1485,0.0009839675843386,18.444744648217277,73.81453519872525,8,0.0,41408.34335086838,1395.242054357626,15.79,South Pune,Grade C,High,Narhe,2451.171046849534,82537,PMC_32,Narhe,PMC,880.8276371667117,1,439.89155414607376,1,242.7492416365749,45000.0,5000.0,57.69,Unknown,9515.406510983104,0.0006303359340926,0.8046675600325464,0.6944967467310752,0.0957659480230317,0.8645190572419681,17287.74896697177,retail_electronics,1,2596050.0,13910.890779708347,0.0957659480230317,52.64810437309503
