place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category,income_sensitivity,visibility_score,shopping_district_score,parking_accessibility,fashion_market_opportunity
ChIJC98tVQmXwjsRDqfrAPp-pWk,Vaishnavi Jewellers,18.3984669,73.7313253,5.0,1,100.0,1,10,Low,720000,High,354,cell_354,0.0042382157437965,18.40213096137701,73.7291952467339,1,97.62330345530064,5596.227433259315,166.03245014176832,15.79,South Pune,Grade C,High,Narhe,9724.002052767728,82537,PMC_32,Narhe,PMC,11535.91130656436,1,3785.274965637952,1,4021.556804422091,45000.0,5000.0,57.69,Unknown,18809.630313526097,0.0006303359340926,0.1991414294306854,0.2089744073602434,0.0119707435028789,0.108064882155246,4799.375379800893,retail_fashion,2680.1667659321024,1169.4683113185015,0.2089744073602434,0.1991414294306854,57.007576918982224
ChIJxVLXc7yWwjsRUXryn43p9aE,Evaa Collections,18.3985278,73.7319442,1.0,1,20.0,0,10,Low,21600,Low,413,cell_413,0.0040024376781415,18.40213096137701,73.7336868231545,9,0.0,17666.598581108567,0.0,15.79,South Pune,Grade C,High,Narhe,9362.909409067037,82537,PMC_32,Narhe,PMC,11104.140288268058,1,3378.969967634573,1,3536.9806562820804,45000.0,5000.0,57.69,Unknown,18473.8928609572,0.0006303359340926,0.2204109022627991,0.2283642060555576,0.1077366915259106,0.972583939397214,17666.598581108567,retail_fashion,2680.1667659321024,4034.418758677098,2.0552778545000185,0.2204109022627991,52.07916325361747
ChIJq6nz-TeVwjsRr1xfJbOvINc,Teen Pariyaan Boutique,18.4090603,73.7634231,5.0,5,100.0,1,10,Low,108000,Low,828,cell_828,0.0023340547333514,18.41065454318197,73.76512785809868,16,0.0,14445.178348725773,0.0,15.79,South Pune,Grade C,High,Narhe,6420.373044511797,82537,PMC_32,Narhe,PMC,7645.95547016931,1,1134.4733540710083,1,0.0,45000.0,5000.0,57.69,Unknown,15562.637288161672,0.0006303359340926,1.0,0.4684996409501827,0.1915318960460634,1.7290381144839362,14445.178348725773,retail_fashion,2680.1667659321024,6767.560869839377,7.495994255202923,1.0,48.41666445643328
ChIJC1Bhs7qVwjsRslJbtUZ_ja4,CTR Shoes & Trek Equipments by उनाड भ्रमंती,18.4130549,73.76572209999999,5.0,219,100.0,1,22,High,99000,Low,829,cell_829,0.0019538349821115,18.41491617582589,73.76512785809868,5,0.0,9303.531292372676,0.0,15.79,South Pune,Grade C,High,Narhe,5989.344735800807,82537,PMC_32,Narhe,PMC,7348.71419139327,1,674.1151500185362,1,70.59168314165436,45000.0,5000.0,57.69,Unknown,15193.830025263496,0.0006303359340926,0.9340629259004676,0.5973304763348732,0.0598537175143948,0.5403244107762301,9303.531292372676,retail_fashion,2680.1667659321024,5557.282778469369,2.986652381674366,0.9340629259004676,54.432040051052105
ChIJ9YAldwCVwjsReJEN-yaBK80,RadheKrushna Pearls and Jewellers,18.413052,73.765773,5.0,3,100.0,1,10,Low,720000,High,829,cell_829,0.0019726529301088,18.41491617582589,73.76512785809868,5,0.0,9303.531292372676,0.0,15.79,South Pune,Grade C,High,Narhe,5989.344735800807,82537,PMC_32,Narhe,PMC,7348.71419139327,1,674.1151500185362,1,70.59168314165436,45000.0,5000.0,57.69,Unknown,15193.830025263496,0.0006303359340926,0.9340629259004676,0.5973304763348732,0.0598537175143948,0.5403244107762301,9303.531292372676,retail_fashion,2680.1667659321024,5557.282778469369,2.986652381674366,0.9340629259004676,54.432040051052105
ChIJO7IisT6UwjsR0o_8hOJA-sQ,बाँस टेलर,18.4120623,73.7664996,1.0,1,20.0,0,10,Low,21600,Low,828,cell_828,0.0019655673742086,18.41065454318197,73.76512785809868,16,0.0,14445.178348725773,0.0,15.79,South Pune,Grade C,High,Narhe,6420.373044511797,82537,PMC_32,Narhe,PMC,7645.95547016931,1,1134.4733540710083,1,0.0,45000.0,5000.0,57.69,Unknown,15562.637288161672,0.0006303359340926,1.0,0.4684996409501827,0.1915318960460634,1.7290381144839362,14445.178348725773,retail_fashion,2680.1667659321024,6767.560869839377,7.495994255202923,1.0,48.41666445643328
ChIJB3qYf6WVwjsRLh1kCaPgdFc,Shree Jewellers,18.4430452,73.7859847,5.0,3,100.0,1,10,Low,720000,High,1131,cell_1131,0.0023348348914935,18.444744648217277,73.78758574020166,14,0.0,22531.37283699253,0.0,15.79,South Pune,Grade C,High,Narhe,1723.0659012609517,82537,PMC_32,Narhe,PMC,3595.5202842824524,1,506.932484826073,1,0.0,45000.0,5000.0,57.69,Unknown,11130.856153743089,0.0006303359340926,1.0,0.6635997365969704,0.1675904090403054,1.5129083501734442,22531.37283699253,retail_fashion,2680.1667659321024,14951.813079796375,9.290396312357585,1.0,49.409450054850986
ChIJvwRJJXqVwjsRTU4IcIZ89dc,Swara Creations,18.4420308,73.7869391,4.5,12,90.0,1,10,Low,97200,Low,1130,cell_1130,0.0016767505953256,18.44048375474904,73.78758574020166,7,0.0,21158.0035133983,247.87203798796097,15.79,South Pune,Grade C,High,Narhe,2194.97056165158,82537,PMC_32,Narhe,PMC,3726.231460834621,1,508.688531770736,1,236.75010680828632,45000.0,5000.0,57.69,Unknown,11493.183145727511,0.0006303359340926,0.8085707811909768,0.6628273357565115,0.0837952045201527,0.7564541750867221,16955.26694188369,retail_fashion,2680.1667659321024,14024.103098712705,4.639791350295581,0.8085707811909768,53.22961363862289
ChIJwSXmIreVwjsRHtmkjDhhYoE,DEV VINAYAK COLLECTION,18.4399171,73.7758071,4.0,1,80.0,1,10,Low,86400,Low,953,cell_953,0.0017882437486166,18.44048375474904,73.77411101093988,9,0.0,25846.082357746363,0.0,15.79,South Pune,Grade C,High,Narhe,2999.0541385613424,82537,PMC_32,Narhe,PMC,5168.244894919228,1,494.872764155516,1,0.0,45000.0,5000.0,57.69,Unknown,12443.004869349736,0.0006303359340926,1.0,0.6689532540683624,0.1077366915259106,0.972583939397214,25846.082357746363,retail_fashion,2680.1667659321024,17289.820898133323,6.020579286615261,1.0,52.07916325361747
ChIJrUzJdcuVwjsR7KPFlYvwVNg,Ladli Kids And Ladies Wear,18.4399777,73.7758274,5.0,2,100.0,1,10,Low,108000,Low,953,cell_953,0.0017894364517164,18.44048375474904,73.77411101093988,9,0.0,25846.082357746363,0.0,15.79,South Pune,Grade C,High,Narhe,2999.0541385613424,82537,PMC_32,Narhe,PMC,5168.244894919228,1,494.872764155516,1,0.0,45000.0,5000.0,57.69,Unknown,12443.004869349736,0.0006303359340926,1.0,0.6689532540683624,0.1077366915259106,0.972583939397214,25846.082357746363,retail_fashion,2680.1667659321024,17289.820898133323,6.020579286615261,1.0,52.07916325361747
ChIJoaVyPd-VwjsRYZ1_G1tY7Ko,Glam shack,18.4402433,73.77641729999999,4.8,32,96.0,1,10,Medium,103680,Low,1012,cell_1012,0.0021984765939606,18.44048375474904,73.77860258736047,4,0.0,18150.65302843853,0.0,15.79,South Pune,Grade C,High,Narhe,2664.9920086534894,82537,PMC_32,Narhe,PMC,4683.528281379008,1,42.2312465258874,1,348.70821030717343,45000.0,5000.0,57.69,Unknown,12116.156333628596,0.0006303359340926,0.7414502205575261,0.9594799650589458,0.0478829740115158,0.432259528620984,18150.65302843853,retail_fashion,2680.1667659321024,17415.18793352325,3.8379198602357834,0.7414502205575261,55.05385756879948
ChIJOYGHyrCVwjsRPEHzWQmY6qY,Shree Balaji Collection,18.4404297,73.77649,4.5,6,90.0,1,10,Low,97200,Low,1012,cell_1012,0.0021132787964485,18.44048375474904,73.77860258736047,4,0.0,18150.65302843853,0.0,15.79,South Pune,Grade C,High,Narhe,2664.9920086534894,82537,PMC_32,Narhe,PMC,4683.528281379008,1,42.2312465258874,1,348.70821030717343,45000.0,5000.0,57.69,Unknown,12116.156333628596,0.0006303359340926,0.7414502205575261,0.9594799650589458,0.0478829740115158,0.432259528620984,18150.65302843853,retail_fashion,2680.1667659321024,17415.18793352325,3.8379198602357834,0.7414502205575261,55.05385756879948
