place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category,mixed_use_score,repeat_customer_potential,convenience_score,premium_service_potential,services_market_opportunity
ChIJrRWoLy7HwjsRYGwZ8jBEi7Y,Yogin Belva,18.596625,73.9306014,4.4,80,88.0,1,10,Medium,39600,Low,3055,cell_3055,0.0016087791697582,18.59806626745477,73.93131618566079,6,0.0,30204.894572781945,2.330573284532875,13.55,East Pune,Grade C,Low,Lohegaon-Wagholi Road,96.89220097567886,84619,PMC_19,Lohegaon,PMC,1365.9343960192057,1,542.6711018588394,1,486.3463645432278,45000.0,5000.0,57.69,Unknown,11681.077853364006,0.0006303359340926,0.6727906925700404,0.6482263126566974,0.0700779032691341,0.6341221107811328,30134.663531018166,services,1.0000856012100374,84.619,30135.336321710736,2596050.0,12088.42857142857
ChIJp1vK4kjAwjsRAF2kRTNxVY8,Lucky star Salon - Best salon in MG Road Camp,18.5139337,73.8796985,4.3,58,86.0,1,10,Medium,38700,Low,2386,cell_2386,0.0024381879714486,18.51290455695171,73.88190884503422,11,0.0,23839.11552815798,0.0,13.81,Pune,Grade C,Low,manjari farm,2632.711286035037,76984,PMC_23,Camp,PMC,340.9779259087518,1,0.0,1,556.5369581275154,45000.0,5000.0,57.69,Unknown,2785.592027720287,0.0006303359340926,0.6424518189423405,1.0,0.1410545752974969,1.2646003862779365,23839.11552815798,services,1.0003588612864933,76.984,23839.757979976923,2596050.0,6415.333333333333
ChIJpWU9myS_wjsRT1jkG0Y06_8,Fahrenheit Salon,18.5544087,73.80472,4.0,287,80.0,1,23,High,82800,Low,1393,cell_1393,0.0013649450467455,18.555490723395064,73.80555204588406,7,0.0,36497.27066260516,60.51117023271095,28.14,West Pune,Grade B,Medium,Aundh Gaon,162.07631629239768,92644,PMC_1,Aundh,PMC,162.07631629239768,1,44.9024872193113,1,159.96231290325522,45000.0,5000.0,57.69,Unknown,6655.954257025796,0.0006303359340926,0.8620969740793668,0.9570271027502236,0.0747511853402246,0.681968746346596,34414.7913638632,services,1.0001502188480482,92.644,34415.65346083728,2596050.0,11580.5
ChIJHQAAALS_wjsRyyADt-p6XKI,Asia Institute of Hair Transplant,18.50253259999999,73.81555019999999,4.9,496,98.0,1,49,High,216090,Medium,1499,cell_1499,0.0021131747462469,18.504386050814137,73.81453519872525,1,0.0,22234.695579475178,0.0,28.31,Central Pune,Grade B,Low,left bhusari colony Kothrud,521.3302118017453,97187,PMC_4,Kothrud,PMC,521.3302118017453,1,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,4789.243753122626,0.0006303359340926,1.0,1.0,0.0101846476621141,0.0932948958362488,22234.695579475178,services,1.0002087576439818,97.187,22235.695579475178,2596050.0,48593.5
ChIJmy3-p2XAwjsR6yCptXWJ5j4,Lucky Star,18.5520447,73.89750219999999,4.0,142,80.0,1,11,High,39600,Low,2572,cell_2572,0.0022689439391715,18.55123258441366,73.89538357429602,9,0.0,10762.73468359661,0.0,34.97,East Pune,Grade A,High,Kalyani Nagar,1001.8566050363024,80082,PMC_21,Kalyani Nagar,PMC,784.8625636360207,1,111.19123275158928,1,395.7059399494051,45000.0,5000.0,57.69,Unknown,5327.89756467522,0.0006303359340926,0.7164833016589801,0.8999351061506741,0.1109987420142571,0.9990897182566996,10762.73468359661,services,1.0001876560748004,80.082,10763.451166898269,2596050.0,8008.2
ChIJmUzidnjqwjsRA6lo5e6EDso,Sherie's Salon - Best Ladies Hair Salon in Wanowrie | Best Curly Hairstylist Pune | Best Hair Colour Salon Pune,18.4875428,73.8989406,4.7,279,94.0,1,26,High,109980,Low,2616,cell_2616,0.0009546847135665,18.487347767027387,73.89987515071661,17,0.0,15248.60536757038,777.324106135985,25.36,South Pune,Grade B,High,Wanowrie,821.433321188204,76204,PMC_11,Wanowrie,PMC,0.0,1,0.0,1,37.35614773933776,25000.0,3000.0,45.72,Low,5850.994926669622,0.0010143594256229,0.9639890814540923,1.0,0.2201958447748821,1.972066261426384,8579.529932062764,services,1.0001708818979733,76.204,8580.493921144218,1143000.0,4233.555555555556
ChIJn96Xx_3AwjsRtd7KxDD-wtM,Cut Inc. | Best Salon in Koregaon Park,18.5395921,73.8863507,4.1,14,82.0,1,10,Low,36900,Low,2451,cell_2451,0.0011356586405303,18.538457530335,73.88640042145481,8,0.0,19393.359952756084,0.0,43.59,Central Pune,Grade A,High,Koregaon Park,796.4986716191845,79703,PMC_22,Koregaon Park,PMC,796.4986716191845,1,0.0,1,79.6230894003675,45000.0,5000.0,57.69,Unknown,3719.8039455566727,0.0006303359340926,0.926249178827223,1.0,0.0991289047495136,0.8918319342719865,19393.359952756084,services,1.0002687591215855,79.703,19394.286201934912,2596050.0,8855.888888888889
ChIJ9Yw2ruq_wjsRjcPfsQ6gNS8,Four Fountains De-Stress Spa and Le Miroir Salon,18.5029071,73.8183279,4.4,559,88.0,1,50,High,198000,Low,1558,cell_1558,0.0016357634242487,18.504386050814137,73.81902677514584,13,0.0,32377.555069050304,0.0,28.31,Central Pune,Grade B,Low,left bhusari colony Kothrud,1016.2066872946408,97187,PMC_4,Kothrud,PMC,1016.2066872946408,2,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,4353.161579869637,0.0006303359340926,2.0,2.0,0.1324004196074837,1.2128336458712343,32377.555069050304,services,2.000229665340079,97.187,32379.555069050304,2596050.0,6941.928571428572
ChIJVVVV5WzAwjsRRQG0YH1naVs,Midas Touch Hair & Beauty Institute Hair Course Skin Course Make up Course,18.5091186,73.8572502,4.7,53,94.0,1,10,Medium,42300,Low,2090,cell_2090,0.0022510700855555,18.508645356879995,73.85945096293122,7,0.0,40284.34594810247,0.0,35.2,Central Pune,Grade A,Medium,Sadashiv Peth,624.13780382101,84660,PMC_36,Tilak Road,PMC,167.55528348777443,1,0.0,1,251.78646747161437,45000.0,5000.0,57.69,Unknown,1338.85495413079,0.0006303359340926,0.7988582925167915,1.0,0.0817184216670558,0.7394886963870696,40284.34594810247,services,1.0007463494439581,84.66,40285.14480639499,2596050.0,10582.5
ChIJi0hPQsG_wjsRP4HtZ0wtqfU,Meshail unisex salon & spa kothrud,18.5026734,73.81695979999999,4.2,827,84.0,1,71,High,268380,Medium,1558,cell_1558,0.0026843172436831,18.504386050814137,73.81902677514584,13,0.0,32377.555069050304,0.0,28.31,Central Pune,Grade B,Low,left bhusari colony Kothrud,1016.2066872946408,97187,PMC_4,Kothrud,PMC,1016.2066872946408,2,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,4353.161579869637,0.0006303359340926,2.0,2.0,0.1324004196074837,1.2128336458712343,32377.555069050304,services,2.000229665340079,97.187,32379.555069050304,2596050.0,6941.928571428572
ChIJj09BlI2_wjsReRmPtKdA1f0,Lee's Beauty Centre & Spa,18.5102173,73.83382180000001,4.4,192,88.0,1,17,High,67320,Low,1736,cell_1736,0.0020528481735748,18.508645356879995,73.83250150440765,11,0.0,35650.23617720867,0.0,34.5,Central Pune,Grade A,Low,Deccan Gymkhana,1082.637694132594,78493,PMC_35,Sadashiv Peth,PMC,1586.6720178644932,2,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,2866.7881877978525,0.0006303359340926,2.0,2.0,0.1383769640094096,1.2430361723526155,35650.23617720867,services,2.0003487007876855,78.493,35652.23617720867,2596050.0,6541.083333333333
