localityname_value,buyrates_value_1,buyrates_value_2,buyratesqqa_value,buyratesqqa_image,buyratesqqa_image/_alt,buyrates_value_3,rentalrates_value_1,rentalrates_value_2,rentalrates_value_3,rentalrates_value_4,rentalrates_value_5,rentalrates_value_6
Adarsh Nagar,Rs.,"6,205 - 7,395/sq. ft.",-,,,Not Available,,-,,-,,-
Aher,Rs.,"3,315 - 3,868/sq. ft.",-,,,Not Available,,-,Rs.,"7,395 - 9,614",,-
Akurdi,Rs.,"4,845 - 5,695/sq. ft.",-1.61%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"6,866 - 8,338",Rs.,"10,748 - 12,898",,-
Alandi,Rs.,"2,550 - 2,932/sq. ft.",0%,,,See Trends,Rs.,"3,944 - 4,930",,-,,-
Alandi Road,,-,-,,,Not Available,Rs.,"4,116 - 5,488",,-,,-
Ambedkar Nagar,Rs.,"4,845 - 5,482/sq. ft.",-,,,Not Available,,-,,-,,-
Ambe Gaon,Rs.,"4,165 - 5,100/sq. ft.",-2.83%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"5,507 - 7,009",Rs.,"8,892 - 9,700",,-
Ambegaon Bk,Rs.,"4,505 - 5,270/sq. ft.",-1.71%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"5,797 - 6,851",Rs.,"8,920 - 10,542",,-
Ambegaon Budruk,Rs.,"3,995 - 4,718/sq. ft.",0.98%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"8,527 - 10,853",,-
Ambegaon Pathar,Rs.,"3,102 - 3,868/sq. ft.",7.79%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Anand Nagar,Rs.,"4,632 - 6,205/sq. ft.",-,,,See Trends,Rs.,"6,885 - 8,262",Rs.,"9,960 - 12,095",,-
Anand Park Nagar,Rs.,"4,802 - 5,398/sq. ft.",-,,,Not Available,Rs.,"9,104 - 11,632",Rs.,"11,519 - 12,239",,-
Anthon Nagar,Rs.,"4,165 - 4,632/sq. ft.",-,,,Not Available,,-,Rs.,"7,480 - 8,840",,-
Ashoka Nagar,Rs.,"5,312 - 5,822/sq. ft.",-2.21%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"14,191 - 16,083",,-
Ashok Nagar,Rs.,"3,230 - 3,910/sq. ft.",-,,,Not Available,,-,,-,,-
Aundh,Rs.,"7,310 - 8,755/sq. ft.",0%,,,See Trends,Rs.,"9,775 - 11,730",Rs.,"15,300 - 17,000",Rs.,"20,400 - 25,500"
Aundh Annexe,Rs.,"6,248 - 6,588/sq. ft.",-7.36%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"12,947 - 14,470",,-
Aundh Gaon,,-,-,,,Not Available,Rs.,"9,286 - 11,241",Rs.,"16,150 - 17,850",,-
Azad Nagar,Rs.,"4,888 - 5,525/sq. ft.",-,,,Not Available,,-,,-,,-
B.T Kawade Road,Rs.,"5,738 - 6,418/sq. ft.",-3.42%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"13,559 - 15,254",,-
Bakori,Rs.,"3,188 - 3,612/sq. ft.",-,,,Not Available,Rs.,"3,556 - 4,001",Rs.,"5,073 - 6,341",,-
Balaji Uddyam Nagar,,-,-,,,Not Available,,-,Rs.,"18,207 - 19,218",,-
Balewadi,Rs.,"5,568 - 6,120/sq. ft.",2.26%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"8,160 - 10,200",Rs.,"13,681 - 15,505",Rs.,"16,022 - 19,720"
Balewadi Phata,Rs.,"5,908 - 6,460/sq. ft.",0.70%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"12,257 - 14,884",,-
Baner,Rs.,"5,908 - 6,885/sq. ft.",1.35%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"9,180 - 10,710",Rs.,"13,808 - 15,649",Rs.,"17,695 - 20,223"
Baner-Sus,Rs.,"5,058 - 5,270/sq. ft.",-1.60%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"10,173 - 12,022",,-
Baner Pashan Link Road,Rs.,"6,162 - 7,098/sq. ft.",6.76%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"14,140 - 16,025",Rs.,"16,575 - 19,125"
Bavdhan,Rs.,"5,652 - 6,205/sq. ft.",2.21%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"8,670 - 10,200",Rs.,"11,900 - 13,600",Rs.,"15,470 - 17,850"
Bhandarkar Road,,-,-,,,Not Available,,-,Rs.,"22,121 - 25,661",Rs.,"29,325 - 33,150"
Bharati Vidyapeeth,,-,-,,,Not Available,,-,Rs.,"9,945 - 10,710",,-
Bhatewara Nagar,Rs.,"5,355 - 5,992/sq. ft.",-,,,Not Available,,-,,-,,-
Bhelkenagar,,-,-,,,Not Available,Rs.,"9,894 - 11,378",Rs.,"14,450 - 16,150",,-
Bhosale Nagar,Rs.,"6,418 - 8,372/sq. ft.",-,,,Not Available,,-,Rs.,"13,464 - 15,259",Rs.,"17,517 - 19,706"
