name,type,latitude,longitude,importance,source
Renault Fatimanagar,Mall,18.5060978,73.9014122,4,OSM
Bizzbay,Mall,18.4693177,73.9001256,4,OSM
"Reliance Mart , Fatima Nagar",Mall,18.5025271,73.9003371,4,OSM
Reliance Trends,Mall,18.50437,73.8335296,4,OSM
City One,Mall,18.6331316,73.8005565,4,OSM
More Quality Store,Mall,18.5879497,73.7844052,4,OSM
Big Bazaar,Mall,18.5920781,73.7447483,4,OSM
Reliance Smart Point,Mall,18.446986,73.8001409,4,OSM
Icon Tower,Mall,18.6009418,73.7459472,4,OSM
The Kopa,Mall,18.5391273,73.9079052,4,OSM
creaty city,Mall,18.5566278,73.894313,4,OSM
Nyati Plaza,Mall,18.5495335,73.9373579,4,OSM
SGS Mall,Mall,18.5194958,73.8773508,4,OSM
KPCT Mall,Mall,18.503679,73.9005527,4,OSM
Sacred World,Mall,18.4912609,73.9003848,4,OSM
Khadki Business Centre,Mall,18.5646128,73.8512901,4,OSM
Unknown Mall,Mall,18.5559101,73.8937014,4,OSM
shastri nagar,Mall,18.5562668,73.8943058,4,OSM
Unknown Mall,Mall,18.5561173,73.894991,4,OSM
Unknown Mall,Mall,18.5563823,73.8936644,4,OSM
Unknown Mall,Mall,18.5566417,73.893536,4,OSM
Unknown Mall,Mall,18.5565621,73.8951546,4,OSM
Unknown Mall,Mall,18.5562038,73.8937554,4,OSM
Jewel Square Mall,Mall,18.5389093,73.8859194,4,OSM
Destination Center,Mall,18.5097164,73.9283447,4,OSM
Centro Mall,Mall,18.5344572,73.8386178,4,OSM
Krome,Mall,18.5068099,73.9076869,4,OSM
Inorbit Mall,Mall,18.5604457,73.9206662,4,OSM
Kumar Pacific Mall,Mall,18.5011325,73.8723413,4,OSM
Unknown Mall,Mall,18.5685584,73.9074894,4,OSM
Phoenix Marketcity,Mall,18.5620956,73.9167335,4,OSM
Centro Mall,Mall,18.5104536,73.8385994,4,OSM
Kakade Center Port,Mall,18.5376663,73.8359677,4,OSM
Amanora Mall,Mall,18.5186409,73.935231,4,OSM
Amanora Town Centre,Mall,18.5186533,73.9351156,4,OSM
Konark Indrayu Mall,Mall,18.4704196,73.8892048,4,OSM
Megamart,Mall,18.5869785,73.833445,4,OSM
Aditya Shagun Mall,Mall,18.5192742,73.7785162,4,OSM
City One,Mall,18.6332281,73.8006184,4,OSM
Grand Highstreet,Mall,18.5937966,73.7255314,4,OSM
Central Mall,Mall,18.6324862,73.800948,4,OSM
City Mall,Mall,18.5414054,73.8307134,4,OSM
Dmart,Mall,18.6141427,73.7847261,4,OSM
Lighthouse Mall,Mall,18.4806109,73.8628058,4,OSM
Spot 18,Mall,18.5936724,73.7859582,4,OSM
Dorabjee Royal Heritage Mall,Mall,18.4672005,73.9062329,4,OSM
Unknown Mall,Mall,18.5513743,73.820874,4,OSM
Previa,Mall,18.6498951,73.8399006,4,OSM
Premier Plaza,Mall,18.6359724,73.7962562,4,OSM
18 Latitude Business Complex,Mall,18.6239522,73.7319353,4,OSM
93 Avenue,Mall,18.5055283,73.9066198,4,OSM
Goodwill Square,Mall,18.5978683,73.9039883,4,OSM
The Pavillion,Mall,18.5337227,73.8296242,4,OSM
The Social Street,Mall,18.5905487,73.7457152,4,OSM
Shree Ram Arcade,Mall,18.5435349,73.7267966,4,OSM
Mspace mall,Mall,18.6294854,73.8081839,4,OSM
Vision Flora,Mall,18.592628,73.7999779,4,OSM
Elpro City Square,Mall,18.6285679,73.7836689,4,OSM
Unknown Mall,Mall,18.5668081,73.8070955,4,OSM
Streets of Europe,Mall,18.5849763,73.7305265,4,OSM
Westend Mall,Mall,18.5617104,73.8069352,4,OSM
BJ Medical College,College,18.5268345,73.8719155,3,OSM
Bharati Vidhyapeeth College Of Engineering,College,18.4566136,73.8563024,3,OSM
Symbiosis Institute Of Technology,College,18.5412214,73.7274563,3,OSM
Asian College,College,18.44648,73.8207326,3,OSM
V.M. Gany Sports Complex & Pavilion,College,18.504507,73.8763368,3,OSM
Pune Institute of Computer Technology,College,18.4575638,73.8507352,3,OSM
Homoeopathic Medical College,College,18.4597522,73.854721,3,OSM
Defence Institute of Advanced Technology DIAT,College,18.4242379,73.7587028,3,OSM
MLIT,College,18.4220124,73.7598356,3,OSM
Bharati Vidyapeeth Medical College,College,18.4572357,73.8562612,3,OSM
Bharati Vidyapeeth Dental College,College,18.4572866,73.8552849,3,OSM
Unknown College,College,18.422481,73.9068579,3,OSM
"Hope Foundation's International Institute of Information Technolohy, Pune",College,18.5837559,73.7363713,3,OSM
Suryadatta college of Management,College,18.5202898,73.7731303,3,OSM
The Suryadatta Education Foundation,College,18.5196451,73.773235,3,OSM
Asian School of Cyber Laws,College,18.5525484,73.7710341,3,OSM
Symbiosis Medical College for Women,College,18.5386351,73.7287845,3,OSM
Symbiosis School of Culinary Arts,College,18.5399526,73.7290649,3,OSM
Centre for Developemtn Studies and Activities,College,18.5075067,73.770818,3,OSM
Unknown College,College,18.5377942,73.8335456,3,OSM
Department of Politics and Public Administration,College,18.5517146,73.8258085,3,OSM
