locality,zone,tier,latitude,longitude,avg_rent_per_sqft,median_rent_per_sqft,commercial_rent_per_sqft,avg_rent,median_rent,min_rent,max_rent,avg_area_sqft,median_area_sqft,sample_size,confidence,avg_bedrooms,avg_bathrooms,data_source,last_updated
Bhusari colony kothrud,Central Pune,Grade A,18.5074,73.8077,32.78,32.78,37.69,14750.0,14750.0,14750.0,14750.0,450.0,450.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Deccan Gymkhana,Central Pune,Grade A,18.5167,73.8422,30.0,30.0,34.5,9000.0,9000.0,9000.0,9000.0,300.0,300.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Deccan Hills,Central Pune,Grade C,18.5167,73.8422,7.37,7.37,8.47,7000.0,7000.0,7000.0,7000.0,950.0,950.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Erandwane,Central Pune,Grade A,18.5204,73.8567,28.23,28.64,32.47,23500.0,27500.0,9000.0,30000.0,850.0,1000.0,4,Low,1.8,1.8,Real Property Listings,2026-02-07
Karve Nagar,Central Pune,Grade B,18.4881,73.8226,24.21,25.0,27.84,15415.43,15000.0,8000.0,25000.0,647.64,600.0,14,High,1.4,1.5,Real Property Listings,2026-02-07
Karve Road,Central Pune,Grade B,18.5204,73.8567,23.33,23.33,26.83,30000.0,30000.0,20000.0,40000.0,1350.0,1350.0,2,Low,2.5,2.5,Real Property Listings,2026-02-07
Karvenagar,Central Pune,Grade A,18.5204,73.8567,26.0,26.0,29.9,13000.0,13000.0,13000.0,13000.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Koregaon Mul,Central Pune,Grade C,18.5204,73.8567,8.58,8.58,9.87,3500.0,3500.0,3500.0,3500.0,408.0,408.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Koregaon Park,Central Pune,Grade A,18.5362,73.8958,37.9,37.5,43.59,33440.53,26000.0,9500.0,85000.0,1111.03,1000.0,33,High,2.1,2.0,Real Property Listings,2026-02-07
Koregaon Park Annexe,Central Pune,Grade A,18.5362,73.8958,34.67,30.82,39.87,24333.33,26000.0,16000.0,31000.0,773.67,970.0,3,Low,1.7,1.7,Real Property Listings,2026-02-07
Koregaon park,Central Pune,Premium,18.5362,73.8958,47.06,47.06,54.12,40000.0,40000.0,40000.0,40000.0,850.0,850.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Kothrud,Central Pune,Grade A,18.5074,73.8077,27.34,26.84,31.44,18333.19,16000.0,7000.0,50000.0,670.47,600.0,47,High,1.5,1.5,Real Property Listings,2026-02-07
Kothrud depo,Central Pune,Grade A,18.5074,73.8077,25.0,25.0,28.75,12500.0,12500.0,12500.0,12500.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Kothrud pune,Central Pune,Grade A,18.5074,73.8077,25.0,25.0,28.75,15000.0,15000.0,15000.0,15000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Mantri Angan Koregaon park,Central Pune,Grade A,18.5362,73.8958,25.0,25.0,28.75,20000.0,20000.0,20000.0,20000.0,800.0,800.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Marvel Matrix Koregaon park,Central Pune,Premium,18.5362,73.8958,43.75,43.75,50.31,35000.0,35000.0,35000.0,35000.0,800.0,800.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Right Bhusari Kothrud,Central Pune,Grade B,18.5074,73.8077,21.0,21.0,24.15,21000.0,21000.0,21000.0,21000.0,1000.0,1000.0,1,Low,3.0,2.0,Real Property Listings,2026-02-07
Sadashiv Peth,Central Pune,Grade A,18.5109,73.8516,30.6,29.09,35.2,19000.0,20000.0,12000.0,25000.0,682.0,620.0,5,Medium,1.4,1.2,Real Property Listings,2026-02-07
Shivajinagar,Central Pune,Grade B,18.5304,73.8468,22.22,22.22,25.56,15000.0,15000.0,15000.0,15000.0,675.0,675.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
karvenagar,Central Pune,Grade B,18.5204,73.8567,15.38,15.38,17.69,9000.0,9000.0,9000.0,9000.0,585.0,585.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
kothrud,Central Pune,Grade A,18.5074,73.8077,36.48,36.48,41.95,35000.0,35000.0,25000.0,45000.0,952.5,952.5,2,Low,2.5,2.0,Real Property Listings,2026-02-07
left bhusari colony Kothrud,Central Pune,Grade B,18.5074,73.8077,24.62,24.62,28.31,16000.0,16000.0,16000.0,16000.0,650.0,650.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Amanora Park Town Hadapsar,East Pune,Grade B,18.5089,73.926,23.53,23.53,27.06,20000.0,20000.0,20000.0,20000.0,850.0,850.0,1,Low,3.0,2.0,Real Property Listings,2026-02-07
Amanora Park Town Hadapsar Pune,East Pune,Grade B,18.5089,73.926,18.05,18.05,20.75,24000.0,24000.0,24000.0,24000.0,1330.0,1330.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
HADAPSAR,East Pune,Grade B,18.5089,73.926,19.57,19.57,22.5,27000.0,27000.0,27000.0,27000.0,1380.0,1380.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Hadapsar,East Pune,Grade B,18.5089,73.926,20.54,19.39,23.62,18020.95,16000.0,7500.0,50000.0,926.2,764.0,91,High,1.9,1.9,Real Property Listings,2026-02-07
Hadapsar Gaon,East Pune,Grade B,18.5089,73.926,18.46,19.01,21.23,12300.0,11000.0,9500.0,16500.0,675.8,570.0,5,Medium,1.4,1.4,Real Property Listings,2026-02-07
Kalyani Nagar,East Pune,Grade A,18.5465,73.9062,30.41,28.89,34.97,30891.16,27000.0,13000.0,57000.0,1116.9,980.0,41,High,2.2,2.2,Real Property Listings,2026-02-07
