name,type,latitude,longitude,operator,source
Deccan Corner,Bus Stop,18.5133826,73.8411516,PMPML,OSM
Noble Hospital,Bus Stop,18.5024023,73.9276916,PMPML,OSM
Raste Wada,Bus Stop,18.5211848,73.8647837,PMPML,OSM
Collector Kacheri,Bus Stop,18.5244565,73.8721359,PMPML,OSM
Collector Kacheri,Bus Stop,18.5244012,73.8716998,PMPML,OSM
Swargate PMPML Depot,Bus Stop,18.5005006,73.8613881,PMPML,OSM
Akurdi Village BS,Bus Stop,18.649813,73.7791926,PMPML,OSM
Dahanukar Colony (Ram Mandir),Bus Stop,18.4956415,73.8102718,PMPML,OSM
Kumbare Park,Bus Stop,18.5031794,73.7981352,PMPML,OSM
509,Bus Stop,18.5751841,73.8995588,PMPML,OSM
Balewadi Phata,Bus Stop,18.5635705,73.7829572,PMPML,OSM
Paud Phata,Bus Stop,18.5054496,73.8243601,PMPML,OSM
Balewadi Gaon,Bus Stop,18.5762113,73.7797577,PMPML,OSM
Baner Phata Bus Stop,Bus Stop,18.5499281,73.8094135,PMPML,OSM
Sai Chowk,Bus Stop,18.5435299,73.7858079,PMPML,OSM
Dandekar Bridge,Bus Stop,18.5011157,73.8466642,PMPML,OSM
Pandavnagar,Bus Stop,18.544023,73.7826234,PMPML,OSM
Panchavati,Bus Stop,18.5390016,73.8096596,PMPML,OSM
NCL,Bus Stop,18.5394695,73.8117625,PMPML,OSM
IMD Colony,Bus Stop,18.5378421,73.8048526,PMPML,OSM
Pashan,Bus Stop,18.5369875,73.7960554,PMPML,OSM
Mafatlal Bungalow / Reserve Bank,Bus Stop,18.535569,73.8376961,PMPML,OSM
E-Square,Bus Stop,18.5378018,73.8350343,PMPML,OSM
PMC Mangala,Bus Stop,18.5239213,73.854079,PMPML,OSM
Sutarwadi,Bus Stop,18.5386289,73.7814207,PMPML,OSM
Vishwakarma Nagar,Bus Stop,18.5429523,73.7876496,PMPML,OSM
Abhinav College,Bus Stop,18.5447222,73.7795815,PMPML,OSM
Pratik Nagar,Bus Stop,18.5081499,73.8093982,PMPML,OSM
Kothrud Depot,Bus Stop,18.5078508,73.7950431,PMPML,OSM
State Transport Bus stop,Bus Stop,18.5068404,73.8025744,PMPML,OSM
Nal Stop,Bus Stop,18.5089079,73.8319633,PMPML,OSM
Lohgaon,Bus Stop,18.5957701,73.9245544,PMPML,OSM
Garware Mahavidyalay,Bus Stop,18.5123529,73.838844,PMPML,OSM
Ambegaon,Bus Stop,18.451118,73.8375551,PMPML,OSM
Shewale,Bus Stop,18.5625343,73.832473,PMPML,OSM
JK Hill Park Bus Stop,Bus Stop,18.4513059,73.8110435,PMPML,OSM
Bus Stop,Bus Stop,18.5405299,73.8200467,PMPML,OSM
Donje Phata,Bus Stop,18.4121837,73.7665893,PMPML,OSM
Indira Vasahat,Bus Stop,18.481568,73.900633,PMPML,OSM
Borde Nagar,Bus Stop,18.4848996,73.9004015,PMPML,OSM
Jambhulkar Chowk,Bus Stop,18.4952055,73.8999973,PMPML,OSM
SNDT,Bus Stop,18.5081769,73.8285677,PMPML,OSM
Garware Mahavidyalay,Bus Stop,18.5128652,73.8397526,PMPML,OSM
Deccan Corner,Bus Stop,18.513455,73.8410905,PMPML,OSM
Pune University,Bus Stop,18.5418764,73.82771,PMPML,OSM
Pune University,Bus Stop,18.5427933,73.8258049,PMPML,OSM
Pune University,Bus Stop,18.5433614,73.8275301,PMPML,OSM
Bus Stop,Bus Stop,18.5125841,73.8288952,PMPML,OSM
Jog Hospital,Bus Stop,18.5091844,73.8217809,PMPML,OSM
Vanaz Corner,Bus Stop,18.5071912,73.8077089,PMPML,OSM
Vanaz Corner,Bus Stop,18.5076422,73.8079861,PMPML,OSM
Indira Nagar Bus Stop,Bus Stop,18.4687483,73.8639307,PMPML,OSM
Nashik phata,Bus Stop,18.6073179,73.8225501,PMPML,OSM
Sonya Maruti Chowk,Bus Stop,18.5159878,73.8591744,PMPML,OSM
KEM Hospital,Bus Stop,18.5204468,73.8674762,PMPML,OSM
Padmavati Bus Stop,Bus Stop,18.4754429,73.8562369,PMPML,OSM
15 August Chowk,Bus Stop,18.5223321,73.8663642,PMPML,OSM
Kothrud Stand,Bus Stop,18.4999434,73.8134087,PMPML,OSM
Hadapsar,Bus Stop,18.5007741,73.9379146,PMPML,OSM
Vishrambag Wada,Bus Stop,18.5136511,73.8528438,PMPML,OSM
Guruganesh Nagar,Bus Stop,18.5028438,73.7995615,PMPML,OSM
Guruganesh Nagar,Bus Stop,18.502962,73.7994865,PMPML,OSM
Kumbare Park,Bus Stop,18.5030721,73.7981466,PMPML,OSM
Apple hospital bus stop,Bus Stop,18.5885743,73.7813309,PMPML,OSM
Kokane Chowk,Bus Stop,18.5968638,73.7911733,PMPML,OSM
काटे पाटील चौक,Bus Stop,18.5991037,73.8076053,PMPML,OSM
Maruti Mandir,Bus Stop,18.5036332,73.8201261,PMPML,OSM
Maruti Mandir,Bus Stop,18.5036045,73.8202879,PMPML,OSM
Karve Putala,Bus Stop,18.5023184,73.8165041,PMPML,OSM
More Vidyalaya,Bus Stop,18.5104613,73.8195239,PMPML,OSM
LIC Colony,Bus Stop,18.5108084,73.8185112,PMPML,OSM
Rakshalekha Society,Bus Stop,18.4986966,73.8387012,PMPML,OSM
Rakshalekha Society,Bus Stop,18.4987169,73.838861,PMPML,OSM
Alka Talkies,Bus Stop,18.5128912,73.8447895,PMPML,OSM
Alka Talkies,Bus Stop,18.5133175,73.8449935,PMPML,OSM
Ambedkar Bhavan,Bus Stop,18.524099,73.8673735,PMPML,OSM
Ambedkar Bhavan,Bus Stop,18.5241044,73.8674666,PMPML,OSM
Anandnagar,Bus Stop,18.5095652,73.8144337,PMPML,OSM
Anandnagar,Bus Stop,18.5097081,73.8144315,PMPML,OSM
Gandhi Bhavan,Bus Stop,18.4960452,73.8033806,PMPML,OSM
Gandhi Bhavan,Bus Stop,18.4961031,73.8033959,PMPML,OSM
Apollo Talkies,Bus Stop,18.5194896,73.8645808,PMPML,OSM
Appa Balwant Chowk (Hujurpaga),Bus Stop,18.5148942,73.8537471,PMPML,OSM
Chitrashala,Bus Stop,18.5130861,73.8467444,PMPML,OSM
City Post,Bus Stop,18.5157161,73.8566591,PMPML,OSM
Commonwealth,Bus Stop,18.5143807,73.8515993,PMPML,OSM
Dakshinmukhi Maruti,Bus Stop,18.5177947,73.8539004,PMPML,OSM
Dakshinmukhi Maruti,Bus Stop,18.517793,73.8539774,PMPML,OSM
GPO,Bus Stop,18.5235465,73.8755291,PMPML,OSM
Gananjay Society,Bus Stop,18.5001396,73.8048194,PMPML,OSM
Ganpati Chowk,Bus Stop,18.5149638,73.8549032,PMPML,OSM
Garware Mahavidyalay,Bus Stop,18.5129259,73.8397219,PMPML,OSM
Gokhale Hall,Bus Stop,18.5140682,73.8491322,PMPML,OSM
Ideal Colony,Bus Stop,18.5102141,73.817114,PMPML,OSM
Jay Bhavani Nagar,Bus Stop,18.5093847,73.8125209,PMPML,OSM
Jay Bhavani Nagar,Bus Stop,18.5095335,73.8125146,PMPML,OSM
Jilha Parishad,Bus Stop,18.5234025,73.8692408,PMPML,OSM
Kasba Peth Police Chowki,Bus Stop,18.5205286,73.8558408,PMPML,OSM
Kasba Peth Police Chowki,Bus Stop,18.5205611,73.8558757,PMPML,OSM
Lal Mahal,Bus Stop,18.5185508,73.8566475,PMPML,OSM
Mahesh Vidyalaya,Bus Stop,18.4998645,73.8022036,PMPML,OSM
Mahesh Vidyalaya,Bus Stop,18.499877,73.8020954,PMPML,OSM
More Vidyalaya,Bus Stop,18.510085,73.8209852,PMPML,OSM
Nal Stop,Bus Stop,18.509133,73.8320531,PMPML,OSM
Paud Phata,Bus Stop,18.5068943,73.82385,PMPML,OSM
Paud Phata,Bus Stop,18.5073528,73.8233481,PMPML,OSM
Petrol Pump (Karve Road),Bus Stop,18.5105082,73.8348422,PMPML,OSM
Petrol Pump (Karve Road),Bus Stop,18.5104965,73.8350321,PMPML,OSM
Phadke Houd,Bus Stop,18.5188684,73.8601444,PMPML,OSM
