place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability
ChIJuUxSd_GWwjsRAAAAcM61Sno,VIJAY PAN STALL,18.4172619,73.7175942,5.0,3,100.0,1,10,Low,45000,Low
ChIJRcGUeQiXwjsRigY9g50MIvE,Vishal Vegetables,18.4161784,73.7223755,4.0,1,80.0,1,10,Low,36000,Low
ChIJK86LBACXwjsRLQBFEdsSvI4,Anusaya Flour Mill & DC Mobile shop,18.4118661,73.70636979999999,4.3,3,86.0,1,10,Low,38700,Low
ChIJaQYoCJaXwjsRrbrYxpp9IUE,Gokul Super Shopee,18.4004391,73.7332709,5.0,1,100.0,1,10,Low,45000,Low
ChIJkzd8omyXwjsRJ0_esVJEzmU,Manerwadi Phata,18.3964347,73.72708589999999,4.6,7,92.0,1,10,Low,41400,Low
ChIJC98tVQmXwjsRDqfrAPp-pWk,Vaishnavi Jewellers,18.3984669,73.7313253,5.0,1,100.0,1,10,Low,720000,High
ChIJ8xeu_zCXwjsReP_FoQvjTbA,King Hardware and Electircals,18.398476,73.73134879999999,5.0,2,100.0,1,10,Low,45000,Low
ChIJ1SAuYLyWwjsRbn4320aCMFE,JAY LAXMI TRADING COMPANY,18.4000341,73.73340859999999,1.3,3,26.0,0,10,Low,11700,Low
ChIJEUex9ryWwjsR8_1tLmxJ6V4,Shreenath Chicken Center,18.4000196,73.7334149,5.0,3,100.0,1,10,Low,45000,Low
ChIJTcNuWTeXwjsRYWelNgBm22k,New Luckey Bakery,18.3986979,73.7317537,3.8,5,76.0,0,10,Low,10260,Low
ChIJw81pUvGXwjsRHTSoJQq4tdI,Shravan pan shop & ice Cream,18.3991118,73.73258469999999,5.0,2,100.0,1,10,Low,45000,Low
ChIJIV7B4U6XwjsRzmelBRPBzuc,shlok cake shop & cafe,18.4000246,73.73376499999999,5.0,6,100.0,1,10,Low,13500,Low
ChIJEXOK6NuWwjsRAAAAMN_9WT0,shilpa nemade,18.4000232,73.7337646,4.0,1,80.0,1,10,Low,10800,Low
ChIJxVLXc7yWwjsRUXryn43p9aE,Evaa Collections,18.3985278,73.7319442,1.0,1,20.0,0,10,Low,21600,Low
ChIJZfsqewCXwjsRs09EoMwFyQs,SHREE RAM HARDWARE,18.3984733,73.7319219,5.0,1,100.0,1,10,Low,45000,Low
ChIJg60oUNSXwjsRV7uRC0MCzSI,Ashtavinayak Medical,18.3990808,73.73276849999999,5.0,1,100.0,1,10,Low,22500,Low
