place_id,name,types,main_category
ChIJyVOB82WXwjsREX4wepEj9f4,Abhishek Bricks & Omkar Transport,"store, point_of_interest, establishment",retail_general
ChIJZStnSR6XwjsRUtRjjL5_kQM,Vijay kirana And General Store Pvt.Ltd,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJuUxSd_GWwjsRAAAAcM61Sno,VIJAY PAN STALL,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJRcGUeQiXwjsRigY9g50MIvE,Vishal Vegetables,"store, point_of_interest, food, establishment",retail_general
ChIJK86LBACXwjsRLQBFEdsSvI4,Anusaya Flour Mill & DC Mobile shop,"store, point_of_interest, establishment",retail_general
ChIJBWvh42OXwjsRq1R9nxJTG1M,Abhishek tredars holsel,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJhcsvcQCXwjsR3rzJrWYNoBs,Mandvi Bk,"car_dealer, store, point_of_interest, establishment",retail_general
ChIJRe7T2HuXwjsR3iXPVU3_TBY,Pk Medical,"pharmacy, store, health, point_of_interest, establishment",retail_general
ChIJHZk0f6mXwjsRpPJsx798LE4,SADGURU SUPER MARKET,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJp8W0p4eWwjsRPpv2CSiMF24,श्री सद्गुरु कृपा मेडिकल,"pharmacy, store, health, point_of_interest, establishment",retail_general
ChIJu3tgJoWXwjsRS1Qpz4-qp5A,Pooja Packing Material,"store, point_of_interest, establishment",retail_general
ChIJEcrA99eXwjsRN-NIqizTQ2E,Ramapir bhandi stores shirwal,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJz5vi17OXwjsRlGHiym2BT1k,Narendra More,"pharmacy, store, health, point_of_interest, establishment",retail_general
ChIJ7SIcSQCXwjsRO4Ir8ku37j8,खानापूर,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJ584RMACXwjsRo9AfFyCCb4k,Ladhab,"store, point_of_interest, establishment",retail_general
ChIJ_604tDmXwjsRVZ1ymQcMoR0,दुर्वा स्टेशनरी झेरॉक्स,"store, point_of_interest, establishment",retail_general
ChIJzY8NcuOXwjsRWY3iCgbR4o4,Samarth Engineers,"furniture_store, home_goods_store, store, point_of_interest, establishment",retail_general
ChIJm-LhOzSXwjsRqNM0MK3laYg,Nanasaheb salunke,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJ21JVQryWwjsRAAAA0GtcU0E,Vishal Varieties And Steel Center,"store, point_of_interest, establishment",retail_general
ChIJaQYoCJaXwjsRrbrYxpp9IUE,Gokul Super Shopee,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJkzd8omyXwjsRJ0_esVJEzmU,Manerwadi Phata,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJ9W88u--XwjsRAaQ8ajCGNg8,Krushna Pari Pooja Bhandar,"florist, store, point_of_interest, establishment",retail_general
ChIJC98tVQmXwjsRDqfrAPp-pWk,Vaishnavi Jewellers,"jewelry_store, store, point_of_interest, establishment",retail_general
ChIJ8xeu_zCXwjsReP_FoQvjTbA,King Hardware and Electircals,"hardware_store, home_goods_store, store, point_of_interest, establishment",retail_general
ChIJu4zTjkSXwjsR5gssm-l6uks,Krezy Look Mens Parlour,"store, point_of_interest, establishment",retail_general
ChIJzZod4jqXwjsR9O7weR2OGcA,CJ BRAND'S SHOP,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJ1SAuYLyWwjsRbn4320aCMFE,JAY LAXMI TRADING COMPANY,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJEUex9ryWwjsR8_1tLmxJ6V4,Shreenath Chicken Center,"store, point_of_interest, establishment",retail_general
ChIJTcNuWTeXwjsRYWelNgBm22k,New Luckey Bakery,"bakery, store, point_of_interest, food, establishment",food
ChIJA_ai9ryWwjsRc8NHowUKSsA,VEDANT PUSHP BHANDAR,"florist, store, point_of_interest, establishment",retail_general
ChIJlWoFVDWXwjsR0k9HG5EGFic,Snacs Centre,"store, point_of_interest, food, establishment",retail_general
ChIJ2ddVQDOXwjsR_XIfogxLjI8,Vighnesh Furnitures,"furniture_store, home_goods_store, store, point_of_interest, establishment",retail_general
ChIJXYNF9byWwjsR3jD8aaiwta8,श्री समर्थ मोबाईल रिपेअरिंग शॉप,"store, point_of_interest, establishment",retail_general
ChIJyTDC5byWwjsROpKmRRj6vP4,विश्वकर्मा फर्निचर,"furniture_store, home_goods_store, store, point_of_interest, establishment",retail_general
ChIJkV-zccSXwjsRpxZXJPJd1Mo,Bhabutaram,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJ91aTTaOXwjsR5P28XDGmnYQ,Jay Bawani Redimend Shoes,"shoe_store, store, point_of_interest, establishment",retail_general
ChIJ1Sf487yWwjsR-xfBbpfV40M,Om Sai Stores,"store, point_of_interest, food, establishment",retail_general
ChIJw81pUvGXwjsRHTSoJQq4tdI,Shravan pan shop & ice Cream,"store, point_of_interest, food, establishment",retail_general
ChIJ8T2uZbyWwjsRFjhsrBhfm-Y,पुजा पॅकिंग मटेरियल,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJT26F87yWwjsR4Z8bU2S2AvM,महाराष्ट्र मटण ॲन्ड चिकन सेंटर,"store, point_of_interest, food, establishment",retail_general
ChIJIV7B4U6XwjsRzmelBRPBzuc,shlok cake shop & cafe,"bakery, cafe, home_goods_store, food, store, point_of_interest, establishment",food
ChIJEXOK6NuWwjsRAAAAMN_9WT0,shilpa nemade,"bakery, food, store, point_of_interest, establishment",food
ChIJdwClPP2XwjsREHS7X7oYqN4,Sunny Tailor,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJtVMrgv2XwjsRjS2dZAbAi2s,Pooja Sweets,"bakery, food, store, point_of_interest, establishment",food
ChIJvZZw0OKXwjsR0gVSRRXJobw,SHALIMAR MEN'S WEAR,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJ0UEclryXwjsRrwJAPQjrvo0,Adhira Paan Shop,"store, point_of_interest, establishment",retail_general
ChIJxVLXc7yWwjsRUXryn43p9aE,Evaa Collections,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJ8eNWkBqXwjsRm_gXaLstfZg,Mohd. Zubair,"bakery, food, store, point_of_interest, establishment",food
ChIJZfsqewCXwjsRs09EoMwFyQs,SHREE RAM HARDWARE,"hardware_store, store, point_of_interest, establishment",retail_general
ChIJbSr-AryWwjsRAAAA0H5Chkg,Shreenath Medico,"pharmacy, store, point_of_interest, health, establishment",retail_general
ChIJg60oUNSXwjsRV7uRC0MCzSI,Ashtavinayak Medical,"pharmacy, store, point_of_interest, health, establishment",retail_general
ChIJj1mdDpiXwjsR7-WxeNekBAY,Shreeram Dudh Dairy,"food, store, point_of_interest, establishment",retail_general
ChIJm3hxZLyWwjsRdsx1A_CMm1M,Mataji Sweets,"food, store, point_of_interest, establishment",retail_general
ChIJN-XtYbyWwjsRCH9nOtKPxyw,आर्या ज्वेलर्स,"jewelry_store, store, point_of_interest, establishment",retail_general
ChIJ1QcaZbyWwjsRD0VgMuCmYac,Maa Karni Sweets,"food, store, point_of_interest, establishment",retail_general
ChIJra60eryWwjsR_VLzCUXGWys,अवनी लडीज शॉपी,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJ7evkZLyWwjsRUK77V3sX4TQ,Mourya Medical,"pharmacy, store, point_of_interest, health, establishment",retail_general
ChIJs9aLYbyWwjsRZNrrQ0ncNM8,श्रीनाथ फोटोज् ॲन्ड मोबाईल शॉपी,"store, point_of_interest, establishment",retail_general
ChIJI0DVY7yWwjsRGOXUbOIx3Qs,Tanvi Fashion Designer And Readymade,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJnTRuxoKXwjsR_MKeTAv4A4E,Jay Bhavani Flour Mill,"florist, store, point_of_interest, establishment",retail_general
ChIJS9ExOKqXwjsRmIVP2FJq-aw,धनंजय सपकाळ गणेश सपकाळ,"shopping_mall, point_of_interest, establishment",retail_general
