cell_id,center_lat,center_lon,location_score,monthly_revenue,success_label,daily_footfall,profitability
cell_0,18.402130961377015,73.7022457882103,90,1102415,1,486,Very High
cell_1,18.406392805025355,73.7022457882103,87,1093781,1,716,Very High
cell_2,18.41065454318197,73.7022457882103,85,1086646,1,651,Very High
cell_3,18.41491617582589,73.7022457882103,85,1424568,1,513,Very High
cell_4,18.41917770293615,73.7022457882103,80,1079668,1,575,Very High
cell_5,18.423439124491793,73.7022457882103,80,962213,1,734,Very High
cell_6,18.427700440471853,73.7022457882103,75,960004,0,624,Very High
cell_7,18.431961650855385,73.7022457882103,75,1043546,1,373,Very High
cell_8,18.43622275562143,73.7022457882103,75,1054227,1,533,Very High
cell_9,18.440483754749042,73.7022457882103,75,942149,1,586,Very High
cell_10,18.444744648217274,73.7022457882103,75,1214012,1,512,Very High
cell_11,18.449005436005177,73.7022457882103,75,1018069,0,479,Very High
cell_12,18.45326611809182,73.7022457882103,75,1177708,1,431,Very High
cell_13,18.457526694456252,73.7022457882103,75,1151340,0,486,Very High
cell_14,18.46178716507755,73.7022457882103,75,1102759,1,492,Very High
cell_15,18.466047529934773,73.7022457882103,75,825153,1,430,Very High
cell_16,18.470307789007,73.7022457882103,75,889401,1,419,Very High
cell_17,18.47456794227329,73.7022457882103,75,960769,1,542,Very High
cell_18,18.478827989712737,73.7022457882103,75,1338448,1,369,Very High
cell_19,18.483087931304407,73.7022457882103,75,1313640,1,599,Very High
cell_20,18.487347767027387,73.7022457882103,75,987446,1,403,Very High
cell_21,18.49160749686076,73.7022457882103,80,1330698,1,573,Very High
cell_22,18.49586712078362,73.7022457882103,80,1218778,1,525,Very High
cell_23,18.500126638775043,73.7022457882103,82,920562,1,564,Very High
cell_24,18.504386050814137,73.7022457882103,85,1053329,1,633,Very High
cell_25,18.508645356879995,73.7022457882103,82,1094752,1,489,Very High
cell_26,18.51290455695171,73.7022457882103,87,908539,1,588,Very High
cell_27,18.51716365100839,73.7022457882103,80,777142,1,562,Very High
cell_28,18.521422639029137,73.7022457882103,70,723823,1,365,Very High
cell_29,18.52568152099306,73.7022457882103,52,561915,1,323,High
cell_30,18.529940296879264,73.7022457882103,62,670690,1,408,Very High
cell_31,18.53419896666687,73.7022457882103,67,765410,0,366,Very High
cell_32,18.538457530335,73.7022457882103,70,778130,0,407,Very High
cell_33,18.542715987862753,73.7022457882103,70,802211,0,380,Very High
cell_34,18.54697433922927,73.7022457882103,70,763782,1,378,Very High
cell_35,18.55123258441366,73.7022457882103,70,893215,1,314,Very High
cell_36,18.555490723395064,73.7022457882103,70,858179,1,405,Very High
